"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00187667224086893,36.0089393038002,7.26452336123845,0.173971338294248,"rls/101S.csv",31.5764705882353,6.837182082081,0.216527748501075,0.137544506042228,0.00114485603800774,-291.5,587,5.05094068148263,34.2468424140177,-284.7,573,597.216037011755,"Weib"
"M1-2",54,0.00272730619022888,29.2270902679106,6.02848955106056,0.172048928065258,"rls/M1-2.csv",28.8888888888889,7.45974521965317,0.258221949911071,0.171032690796359,0.000692035181331865,-180.1,364,4.84438723549097,31.5793742160029,-182.8,370,383.850378404142,"Gomp"
"M13",70,0.00317034658787664,41.5659571701347,7.811208754893,0.163865076582114,"rls/M13.csv",25.4428571428571,9.05640251430087,0.355950688377912,0.119690265431582,0.0036281460811162,-250.2,504,3.00438351647914,28.1232039765671,-258,520,507.57385692605,"Gomp"
"M14",60,0.00320089131819001,52.9141906522948,6.02640263899274,0.0949915812191441,"rls/M14.csv",39.4166666666667,13.4193026501312,0.340447424527642,0.0944876826649572,0.00132385214554113,-234.2,472,3.53132595832429,43.8064888190499,-240,484,487.07448644701,"Gomp"
"M2-8",105,0.00456782076894219,47.8898233779209,8.09694375528305,0.148193149498125,"rls/M2-8.csv",23.7714285714286,8.35999763394467,0.351682592774115,0.103899649560492,0.00626983159858821,-378.2,760,3.08007133860036,26.55722924643,-371.4,747,757.159093790673,"Weib"
"M22",60,0.00257024355221642,46.6843159095687,7.53261457481105,0.139931676142909,"rls/M22.csv",31.25,10.237228504709,0.327591312150689,0.106745097810312,0.00236448199469856,-222.7,449,3.51297007115836,34.6900645692925,-224.3,453,453.330421727221,"bin<2"
"M32",60,0.00205689854478428,32.6502756180756,7.37993282194721,0.195402112269313,"rls/M32.csv",27.6,6.6107257479988,0.239519048840536,0.151839094118075,0.00141835193249606,-202.1,408,4.61767852917711,30.1661815855598,-198.6,401,413.623717891459,"Weib"
"M34",58,0.00303296674722058,28.3132084634822,6.0312128312249,0.177698434909419,"rls/M34.csv",27.4310344827586,6.66520703924365,0.242980520600963,0.176543371978151,0.000811022855220727,-189.9,384,4.98661560533059,29.9326331255169,-190.3,385,404.121561220752,"Gomp"
"M5",166,0.00353904053853008,72.7326110914536,7.72836013581333,0.0925081615364135,"rls/M5.csv",35.8253012048193,13.3098126788129,0.371519909985362,0.0685608506160462,0.00412995037827226,-669.5,1343,2.96840127580434,40.1883407649243,-662.5,1329,1340.94365868958,"Weib"
"M8",60,0.00197226713295308,32.1138079062063,6.02193136104292,0.156379192891428,"rls/M8.csv",34.8166666666667,7.09139288908354,0.203678110744381,0.155666478631685,0.000408729853472802,-203,410,5.73686864116217,37.6132204219434,-201.4,407,435.405676588344,"Weib"
"RM112N",59,0.00384068274219133,63.1621668681216,6.02837544109403,0.079610559460269,"rls/RM112N.csv",41.6949152542373,13.4821136136992,0.323351505369209,0.0791586969034009,0.00183531991925627,-236,476,3.57095418352269,46.3075626176445,-236.3,477,487.171868823726,"Gomp"
"S288c",41,0.00557080796196429,65.3259726253171,7.72905382016187,0.103007326944169,"rls/S288c.csv",27.8048780487805,11.6666608594643,0.41959043441933,0.0764129951644555,0.00674708186964788,-158.8,322,2.64321168737453,31.3986965751021,-157.1,318,323.022986592121,"bin<2"
"SGU57",58,0.00450924520868999,53.4933855771578,7.84205224742152,0.127904640426108,"rls/SGU57.csv",26,10.5830052442584,0.407038663240706,0.09323063803041,0.00568083222693763,-217.3,439,2.71432578835281,29.213243425741,-218.4,441,440.751688749743,"bin<2"
"YPS128",69,0.00203486974853315,41.7079836785895,6.95617259137414,0.142806534050499,"rls/YPS128.csv",34.9710144927536,9.69683243383049,0.277281988368961,0.119388263726563,0.00108826497826881,-251.7,507,4.3195122680478,38.4680558896407,-252.7,509,518.62145670529,"Gomp"
"YPS163",130,0.00248312126874078,35.4402340555363,6.02564318292036,0.141806151027247,"rls/YPS163.csv",34.3461538461538,8.22900103054095,0.239590175581259,0.141033220830131,0.000655924916523728,-453.1,910,5.0879718763411,37.4253862690309,-453.8,912,955.35010607581,"Gomp"
