"I"	"se.I"	"G"	"se.G"	"rls"	"se.rls"
"X031104.BY2N.RLS.tab"	0.0102371945497459	0.00406103146021293	0.0682529743490841	0.0151669983199130	27.01953125	1.80955597248063
"X031104.SK1.RLS.tab"	0.0190284327504935	0.0106599044517099	0.140831168266178	0.052025638578358	14.319375	0.92293580318182
"X042204.KLBY4716.RLS.tab"	0.00706226699945714	0.00297713166073289	0.0822239952713881	0.0174070682832982	27.544375	1.55757544472993
"X052604.sir2D.rls.tab"	0.0118812203535821	0.00424520017020487	0.223331359719419	0.0338100193026811	12.5592	0.726186123328094
"X052604.W303.rls.tab"	0.00378521711386789	0.00308086306291210	0.257311671152877	0.089838066942714	17.7733333333333	1.03318130138547
"X053104.BY4741.rls.tab"	0.00509065579086259	0.00184734618167748	0.0840074181444221	0.0140655861704972	31.7911111111111	2.35945856074488
"X053104.BY4742.rls.tab"	0.0119948883753586	0.00584709671019397	0.112650276186889	0.046571070958583	21.2922222222222	1.67326700727949
"X053104.JSBY4741.rls.tab"	0.00323806377920748	0.00151414562240044	0.090993377439412	0.02049148807391	35.14	1.99724714759650
"X061004.srp1ts.rls.tab"	0.0322765871921968	0.0188291728207784	0.352192770825863	0.0824984781929242	6.86352040816327	0.654801843762322
"fig1a.BY4742"	0.00349620656827267	0.000780647118443382	0.123475873308893	0.0102642202451727	26.6404986149584	0.657770781387167
"fig1a.fob1"	0.00332132035902549	0.000776239982426613	0.0749274531800037	0.00670506596453066	37.5797448979592	1.28162579665681
"fig1a.gpa2"	0.00418381159120893	0.0016674028340737	0.0820271401041407	0.0191150801638707	35.151875	1.93129081568354
"fig1a.gpr1"	0.00605667557139548	0.00232703630526059	0.0653374824511207	0.0161459215436274	34.81	2.10102081416117
"fig1a.hxk2"	0.00635427267273654	0.0013290206774751	0.0563835288279935	0.00859911096701475	36.6122222222222	1.44749128309226
"fig1b.BY4742"	0.00357418935464467	0.000707345846880085	0.122778824499980	0.00974695973093305	26.647808	0.633466724857753
"fig1b.fob1"	0.00311260004032544	0.000728953070986261	0.0761752935527346	0.00657083022857616	37.8888265306122	1.08003267089060
"fig1b.hxk2"	0.00640735565452742	0.00126880594873668	0.0562860340690839	0.00871262948185785	36.5386805555555	1.47902815102153
"fig1b.fob1.hxk2"	0.00442387243557612	0.000787313493643871	0.0418622310059923	0.00402195868865252	48.501953125	1.76138008426575
