"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00196902764108549,40.2562971488995,7.54460401233679,0.16257342269036,"rls/101S.csv",31.7176470588235,8.01874554478722,0.25281653238387,0.123205479489935,0.00158597342370898,-300.8,606,4.50228813158016,34.6435231982001,-296.9,598,610.884933768187,"Weib"
"M1-2",54,0.00303687596054509,45.6825720249559,7.73517249879312,0.147434178949333,"rls/M1-2.csv",27.9814814814815,9.53937370030078,0.340917392333714,0.109100395871802,0.00329219066751647,-197.8,400,3.34949435929093,31.2313412268028,-197.3,399,401.826409868543,"bin<2"
"M13",70,0.00263313256080473,39.2921804097289,7.64580033507443,0.169137987909393,"rls/M13.csv",27.2,8.54247698524721,0.314061653869383,0.126469136672088,0.0025238242259992,-247.9,500,3.37512745746282,29.8481837802979,-255,514,503.669717178147,"Gomp"
"M14",60,0.00386083036144378,54.1584163707985,6.02973245476116,0.0928707446008913,"rls/M14.csv",37.2166666666667,13.3671640016246,0.359171446528201,0.0923171628004712,0.00175335407045581,-234.6,473,3.30896636017183,41.583910412037,-239.4,483,486.08577573249,"Gomp"
"M2-8",105,0.00229587825687288,32.5368557566422,7.74068860423903,0.207170866621399,"rls/M2-8.csv",24.8,6.585823936538,0.265557416795887,0.151215875588234,0.00223055219839694,-352.3,709,4.21141555635533,27.2958614076128,-346.3,697,710.662264054853,"bin<2"
"M22",60,0.00297930204016159,52.511843515716,7.64749108873959,0.126590320272228,"rls/M22.csv",31.2833333333333,10.8831881960542,0.34789093860589,0.0949892927986226,0.00312475096188912,-227.8,460,3.26019237426275,34.9667718589715,-227.2,458,461.951147188863,"bin<2"
"M32",60,0.00364182745689911,32.1595135372468,6.0351033525202,0.156566527248262,"rls/M32.csv",28.3333333333333,6.11102550873105,0.215683253249331,0.155437340506605,0.0011834812353381,-200.1,404,4.93465468786828,30.8230088035387,-195.1,394,421.778121589144,"Weib"
"M34",58,0.00206121466160148,25.2933788136572,6.02353081989965,0.198610508185137,"rls/M34.csv",28.6206896551724,7.37189443672431,0.257572215259042,0.197615014357775,0.000378130459282419,-187,378,5.05139914614617,31.0301098142352,-196.3,397,405.18283254567,"Gomp"
"M5",166,0.0032911310945221,77.0372597002638,7.9234421969636,0.0898713456826125,"rls/M5.csv",37.578313253012,13.162499976163,0.350268514915526,0.0647302090646337,0.00411162588516703,-674.2,1352,3.12372070957109,42.046137567719,-660.9,1326,1345.72242644297,"Weib"
"M8",60,0.00256723441938676,35.4788438844532,6.02703647541543,0.141691101654478,"rls/M8.csv",34.7333333333333,6.99604407993271,0.201421614585395,0.140904598225345,0.000644614591879545,-207.2,418,5.36592644524968,37.625970320826,-203,410,439.699166246546,"Weib"
"RM112N",59,0.0019266991588935,55.5136251988564,6.76051678169271,0.103767620310471,"rls/RM112N.csv",43.8813559322034,13.5380495026664,0.308514839960338,0.0900066420955055,0.00100848862383927,-233,470,3.9111397520211,48.6099665142679,-235.7,475,480.332568723986,"Gomp"
"S288c",41,0.00672633476222309,69.4842987856819,7.66681901976674,0.095947129585778,"rls/S288c.csv",26.7317073170732,12.4117371673829,0.464307686006114,0.071857877384956,0.00813571783167783,-159.5,323,2.21100111040322,29.8613036273642,-162.5,329,325.01985774396,"Gomp"
"SGU57",58,0.00518792988524032,51.8337249837564,7.88472718054205,0.132823314988448,"rls/SGU57.csv",24.1379310344828,9.68711981866258,0.401323535344592,0.0961907370237915,0.00667703717545432,-213.9,432,2.76582031302481,27.1920157821725,-212.2,428,432.949460126732,"bin<2"
"YPS128",69,0.00190410674620072,38.879460761801,6.7968373013456,0.149097677482219,"rls/YPS128.csv",35.4202898550725,8.65244915531647,0.244279456512617,0.128036761034104,0.000817012626554912,-246.7,497,4.79128097956544,38.7211813777561,-245.3,495,511.243751418954,"Weib"
"YPS163",130,0.00186821557846056,39.083416475672,6.82027007002377,0.148919173267431,"rls/YPS163.csv",35.6615384615385,8.65672104900087,0.242746707586306,0.126865567091528,0.000828815569156805,-464.3,933,4.84663859569595,38.916035371956,-462.4,929,957.535405760799,"Weib"
