"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_0.005% D_n299.csv",299,0.00786177456155502,72.4747852095718,7.97723410640758,0.0962711939915634,NA,25.3110367892977,10.1313642817762,0.400274566629373,0.0687510091777252,0.0103722456133506,-1144.7,2293,2.65121633676627,28.4896661544082,-1109,2222,"Weib"
"BY4742_MATalpha_temp30_media_0.05% D_n4690.csv",4690,0.0053905955427934,61.0818158976226,7.79080538989198,0.111175564938571,NA,27.0652452025586,10.0881382931751,0.37273404388819,0.0757957685266785,0.00769358662841319,-17896.7,35797,2.86378814476068,30.3340171380655,-17464,34932,"Weib"
"fob1 gcn2_MATalpha_temp30_media_0.05% D_n260.csv",260,0.00306362616199216,70.1553432194448,7.67538776580629,0.0951515231694581,NA,37.3961538461538,13.1307937980819,0.351126852566213,0.0709183179432762,0.00341670108718044,-1047,2098,3.14475217994014,41.8322153549426,-1035.3,2075,"Weib"
"fob1 gcn20_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00451252253555972,86.1444097264284,7.66547826531184,0.0773756333867702,NA,36.2,14.9223631867383,0.412219977534208,0.0579887316104733,0.00532460891173291,-165.4,335,2.68550578734002,40.871351793989,-163,330,"Weib"
"fob1 gcn3_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00300016750460387,61.183954031386,6.02246599016381,0.0820879603104336,NA,44.4102564102564,14.3301631619571,0.322676884131829,0.0817189228422072,0.00128389776485987,-157.1,318,3.68600647503721,49.4677429838765,-157.7,319,"<2"
"fob1 gcn4 hap4_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00342489236850564,48.2041536412802,6.02900847300507,0.104327284956175,NA,36.9,10.4631220520896,0.283553443146059,0.103720422295009,0.00137272138618851,-150.5,305,4.10970755510628,40.7535283667799,-149.6,303,"Weib"
"fob1 gcn4_MATalpha_temp30_media_0.05% D_n200.csv",200,0.00369313451720308,72.853615437349,7.68638339760102,0.0917783332709277,NA,35.365,13.6533455321802,0.386069433965226,0.0684232652757229,0.00425889287154706,-807.8,1620,2.84509746245815,39.6926188389531,-804.6,1613,"Weib"
"fob1 gcn4_MATalpha_temp30_media_SD 0.05% D_n74.csv",74,0.0293558237105155,46.4099550674857,7.58427476241202,0.141872034843337,NA,11.1486486486486,5.50636601053585,0.493904345187458,0.107383017702036,0.0348502007305357,-233.8,472,2.16804925654466,12.6250748349437,-226,456,"Weib"
"fob1 gln3 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0275153701827674,137.345463916405,6.83318683798847,0.0424709100079114,NA,19.19,12.7831130714697,0.666134083974451,0.0363971448021221,0.0287530399720268,-385.1,774,1.52974913567504,21.3157760753493,-383.6,771,"Weib"
"fob1 gln3_MATalpha_temp30_media_0.05% D_n79.csv",79,0.009893936833991,75.7725449399013,7.22133718689489,0.0821054273923268,NA,24.6329113924051,13.2085609526839,0.536215989343283,0.0659297875364764,0.0107470507787155,-308.8,622,1.91128914100174,27.6684048427507,-314,632,"Gomp"
