"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.00451889935029701,50.2980131761738,7.54733505220268,0.130170848484014,NA,26.3219267436026,9.56318930556466,0.363316462306048,0.0886592606111559,0.00628222162948235,-74465.4,148935,2.97124983223194,29.4656025553298,-73196.7,146397,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.0133380393229974,34.6059315595276,8.17431376465412,0.207314568380082,NA,12.9475,4.81119660603834,0.371592709483556,0.141181013876684,0.0193245085154941,-1247.4,2499,2.81156607791925,14.5032084869396,-1193.6,2391,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00124244968028198,38.135142449611,6.0146093106027,0.131495754007701,NA,45,12.5684566154686,0.279299035899301,0.131100003915803,0.000186882102222421,-221.1,446,4.45481538409292,48.7469691062726,-239.3,483,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.00904194092435737,59.696540267711,7.78746638022913,0.113699493300458,NA,21.5142857142857,9.31887981835044,0.433148464332358,0.0835812949876118,0.0113442052143106,-515.3,1035,2.50190410281317,24.3144448534354,-505.6,1015,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.116076133991934,167.180090579178,6.00003487943486,0.0299080761477803,NA,7.11111111111111,6.18620809373802,0.869935513181908,0.0299078673668079,0.115265602718921,-212.2,428,1.18694247499209,7.56558137565327,-211.6,427,"<2"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.169851874794943,51.1825998720803,6.32963687153557,0.104129858288868,NA,4.09090909090909,3.28218330882467,0.802311475490475,0.0976504048807173,0.17038280296935,-78.2,160,1.30719399419068,4.45820160047107,-77.8,160,"<2"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.0061781143803949,51.9976349477,7.98940857321121,0.134417816891889,NA,22.675,8.63620138480885,0.380868859307998,0.0958694969406437,0.00818043175141384,-145.3,295,2.8633220088758,25.4979292506176,-141.6,287,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00563432375019808,81.0786114332195,7.80604235902177,0.0839437459363445,NA,31.3916666666667,13.2368824132576,0.421668672575236,0.0615985067491956,0.00702478526728988,-483,970,2.52437967729857,35.2662182132165,-479.6,963,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.0067752562489908,62.8809746222645,7.98695738588052,0.111114012272428,NA,24.555,10.1083066990277,0.411659812625848,0.0792458871555416,0.0090100112035025,-753,1510,2.60809260037922,27.5942421553821,-744.9,1494,"Weib"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.0021369744247694,45.3128059364925,7.128408585246,0.135246724597792,NA,35.25,10.0069596035124,0.283885378823047,0.109867168772461,0.00138152530002938,-296.9,598,4.10933640317264,38.9105348955426,-296.1,596,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.00327807456826215,54.9403439033719,7.45201313019811,0.117436708105537,NA,31.8055260361318,11.5278640307699,0.362448463127886,0.0848560267309932,0.00383206486890946,-10912.2,21828,3.05992842346951,35.5692084314589,-10902.3,21809,"Weib"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00322234991164355,56.1117228658287,7.52170268053164,0.116227097430709,NA,32.2433581296493,11.5052111719997,0.356824221774224,0.0830937601056424,0.00387683740929126,-10934.9,21874,3.111721252065,36.035590948536,-10894,21792,"Weib"
