"files","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"BY4742_MATalpha_temp30_media_0.005% D_n299.csv",299,0.00741345424840937,0.000465219192980662,68.3089183590846,3.61746743771465,8.06753894900697,0.0818512482685064,0.103692724899823,0.0064761564255577,24.8795986622074,9.6219073053791,"Weib=3",NA,0.3866447631146,0.0730122614878582,0.0100415982276054,-1132.1,2268,2.74150145588628,27.9526051786679,-1095.26666666667,2194.33333333333
"BY4742_MATalpha_temp30_media_0.05% D_n4690.csv",4690,0.0051002346026521,0.000315576163282187,59.7033251401704,1.83412910739669,7.83427238999015,0.047895778544832,0.114544276122737,0.00367850372745186,27.055579246624,10.0502528593125,"Weib=3",NA,0.371466597300008,0.0770555011210609,0.00749232619788843,-17867.3,35738.3333333333,2.87766303830311,30.322095234805,-17444.4,34893
"fob1 gcn2_MATalpha_temp30_media_0.05% D_n260.csv",260,0.00317133652618253,9.44341725103928e-05,71.477682265084,1.18185528738581,7.65405753491089,0.067557391763868,0.0931102429270627,0.00184492854476378,37.4282051282051,13.5299901638993,"Weib=3",NA,0.36148005339171,0.0696458803115736,0.00351510633414436,-1051.53333333333,2107,3.04804040008205,41.8854785249792,-1044.23333333333,2092.33333333333
"fob1 gcn20_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00635030279947918,0.00187604225619374,88.6666429651956,13.9511803047913,6.5631774035582,0.954627887976189,0.0638454907685874,0.0146465986982685,37.1,15.4308334421323,"Weib=3",NA,0.415634604284895,0.0572872409352975,0.0051633259319655,-166.366666666667,337,2.68243624126759,41.8981432609707,-164.133333333333,332.333333333333
"fob1 gcn3_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00296339796572929,8.59863465841992e-05,65.4669146510839,7.98056034920914,6.52526393312415,0.870075327124259,0.0841688448632088,0.00287176921441343,43.1794871794872,14.2407123526219,"<2=2:Weib=1",NA,0.331073530002951,0.0770628137602671,0.00186097591757932,-157.833333333333,319.666666666667,3.55061346617434,48.1453723714732,-157.533333333333,319
"fob1 gcn4 hap4_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00327677630744266,0.00090062681437435,50.7567265126609,2.43082390621616,6.50083321103108,0.817028220935115,0.10812867666506,0.0119229161628994,36.025,10.692038248427,"Weib=3",NA,0.29695578571757,0.0985966201274141,0.00177729100604217,-151.766666666667,307.333333333333,3.88617776282892,39.9053850239349,-150.533333333333,305
"fob1 gcn4_MATalpha_temp30_media_0.05% D_n200.csv",200,0.00418119881687653,0.000609925369552564,75.0033233346889,3.30137970694104,7.75660381031195,0.0799097942020699,0.0901682273230136,0.00288099267383366,34.0666666666667,13.4302789685058,"Weib=3",NA,0.394537515719683,0.0665664927541913,0.00504289337731286,-806.3,1617,2.77083431453523,38.2753710355258,-800.633333333333,1605.33333333333
"fob1 gcn4_MATalpha_temp30_media_SD 0.05% D_n74.csv",74,0.0319921133461316,0.00241627012882842,71.4297537921433,21.9410846139509,7.44770199102251,0.154245059580729,0.0980756067631086,0.0381732047742535,12.9324324324324,6.91852948531611,"Weib=3",NA,0.532231289032884,0.0755348067749462,0.0365195575443513,-248.8,501.666666666667,2.01695281217469,14.634518126258,-240.2,484.333333333333
"fob1 gln3 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0251697170763068,0.00248948311598184,158.713870190426,35.7522446098881,6.79983585386076,0.223619092841347,0.0378467298789602,0.00870216085536935,21.3533333333333,14.4531883812593,"Gomp=1:Weib=2",NA,0.675269833475773,0.0323599924101046,0.0262967593543232,-395.766666666667,795.666666666667,1.4818110680526,23.5192250501817,-395.533333333333,795
"fob1 gln3_MATalpha_temp30_media_0.05% D_n79.csv",79,0.0134863245745284,0.00342650532089354,91.4274775528893,14.6145502701782,7.23372097494199,0.0878920848478988,0.0694395386603971,0.0117994525953195,23.5147679324895,13.0057062685026,"Gomp=1:Weib=2",NA,0.55372770028356,0.0556431371601714,0.0148768082751559,-309.4,623,1.8841257481738,26.485490002106,-310.133333333333,624.333333333333
"fob1 gpa2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00330876795533913,0.00106500952753279,47.6498844387945,7.52626925801254,7.93572898148293,0.171090242261614,0.147654173750631,0.0199704784857675,27.4666666666667,8.88453400353265,"Weib=3",NA,0.324447805267645,0.106256712335481,0.00405359998431619,-145.766666666667,295.666666666667,3.47250030840874,30.5610490094574,-143.166666666667,290.333333333333
