,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
1,YMR056C,AAC1,25.3,-105,23.9,-135,0.22,28.7,-100,26.8,-120,0.13,26.9,-205,25.3,-255,2.70E-02
2,YCR107W,AAD3,27.4,-20,23.8,-20,0.37,0,0,0,0,0,27.4,-20,23.8,-20,3.70E-01
3,YHR047C,AAP1,15.8,-5,22.4,-5,0.19,0,0,0,0,0,15.8,-5,22.4,-5,1.90E-01
4,YAL054C,ACS1,24.5,-10,26.1,-10,0.57,0,0,0,0,0,24.5,-10,26.1,-10,5.70E-01
5,YGR061C,ADE6,25.7,-25,28.4,-25,0.4,0,0,0,0,0,25.7,-25,28.4,-25,4.00E-01
6,YER170W,ADK2,23.4,-10,22.7,-10,0.65,0,0,0,0,0,23.4,-10,22.7,-10,6.50E-01
7,YDR085C,AFR1,23.4,-10,29.6,-10,0.081,0,0,0,0,0,23.4,-10,29.6,-10,8.10E-02
8,YHR093W,AHT1,28.4,-15,25,-25,0.54,0,0,0,0,0,28.4,-15,25,-25,5.40E-01
9,YDR264C,AKR1,14.7,-25,25.8,-25,9.5e-06,0,0,0,0,0,14.7,-25,25.8,-25,9.50E-06
10,YMR169C,ALD3,29.4,-10,30,-10,0.91,0,0,0,0,0,29.4,-10,30,-10,9.10E-01
11,YDR111C,ALT2,19.7,-10,29.6,-10,0.082,0,0,0,0,0,19.7,-10,29.6,-10,8.20E-02
12,YDR242W,AMD2,23.8,-30,25.4,-30,0.28,0,0,0,0,0,23.8,-30,25.4,-30,2.80E-01
13,YBR231C,AOR1,15.9,-10,29.6,-10,0.0017,0,0,0,0,0,15.9,-10,29.6,-10,1.70E-03
14,YHR018C,ARG4,29,-25,26.3,-25,0.54,0,0,0,0,0,29,-25,26.3,-25,5.40E-01
15,YBR249C,ARO4,26.5,-15,28.5,-15,0.97,0,0,0,0,0,26.5,-15,28.5,-15,9.70E-01
16,YHR137W,ARO9,20,-5,22.4,-5,0.84,0,0,0,0,0,20,-5,22.4,-5,8.40E-01
17,YHR129C,ARP1,15.7,-20,24.5,-25,0.0033,0,0,0,0,0,15.7,-20,24.5,-25,3.30E-03
18,YDR101C,ARX1,24.4,-25,24.5,-35,0.76,0,0,0,0,0,24.4,-25,24.5,-35,7.60E-01
19,YGR097W,ASK10,23.7,-10,29.3,-10,0.31,0,0,0,0,0,23.7,-10,29.3,-10,3.10E-01
20,YDR321W,ASP1,31.5,-20,26.9,-35,0.35,0,0,0,0,0,31.5,-20,26.9,-35,3.50E-01
21,YLR423C,ATG17,18.4,-5,28.8,-5,0.29,0,0,0,0,0,18.4,-5,28.8,-5,2.90E-01
22,YCL038C,ATG22,25.7,-10,28.5,-10,0.65,0,0,0,0,0,25.7,-10,28.5,-10,6.50E-01
23,YLR431C,ATG23,25.4,-20,26.9,-30,0.34,0,0,0,0,0,25.4,-20,26.9,-30,3.40E-01
24,YML081CA,ATP18,15.5,-14,24.5,-45,0.0011,0,0,0,0,0,15.5,-14,24.5,-45,1.10E-03
25,YDR298C,ATP5,23.4,-25,25.8,-25,0.26,0,0,0,0,0,23.4,-25,25.8,-25,2.60E-01
