"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"1","YAL001C","TFC3","verified1","growth1","TFC3","verified2","growth2",TRUE,"nonessential"
"2","YAL002W","VPS8","verified1","growth1","VPS8","verified2","growth2",TRUE,"nonessential"
"3","YAL003W","EFB1","verified1","nogrowth1","EFB1","verified2","nogrowth2",TRUE,"essential"
"4","YAL004W","YAL004W","verified1","growth1","YAL004W","verified2","growth2",TRUE,"nonessential"
"5","YAL005C","ssa1","verified1","growth1","ssa1","verified2","growth2",TRUE,"nonessential"
"6","YAL007C","ERP2","verified1","growth1","ERP2","verified2","growth2",TRUE,"nonessential"
"7","YAL008W","FUN14","verified1","growth1","FUN14","verified2","growth2",TRUE,"nonessential"
"8","YAL009W","spo7","verified1","growth1","spo7","verified2","growth2",TRUE,"nonessential"
"9","YAL010C","mdm10","verified1","growth1","mdm10","verified2","growth2",TRUE,"nonessential"
"10","YAL011W","YAL011W","verified1","growth1","YAL011W","verified2","growth2",TRUE,"nonessential"
"11","YAL012W","cys3","verified1","growth1","cys3","verified2","growth2",TRUE,"nonessential"
"12","YAL013W","DEP1","verified1","growth1","DEP1","verified2","growth2",TRUE,"nonessential"
"13","YAL014C","YAL014C","verified1","growth1","YAL014C","verified2","growth2",TRUE,"nonessential"
"14","YAL015C","NTG1","verified1","growth1","NTG1","verified2","growth2",TRUE,"nonessential"
"15","YAL016W","tpd3","verified1","nogrowth1","tpd3","verified2","nogrowth2",TRUE,"essential"
"16","YAL017W","FUN31","verified1","growth1","FUN31","verified2","growth2",TRUE,"nonessential"
"17","YAL018C","YAL018C","verified1","growth1","YAL018C","verified2","growth2",TRUE,"nonessential"
"18","YAL019W","FUN30","verified1","growth1","FUN30","verified2","growth2",TRUE,"nonessential"
"19","YAL020C","ATS1","verified1","growth1","ATS1","verified2","growth2",TRUE,"nonessential"
"20","YAL021C","ccr4","verified1","growth1","ccr4","verified2","growth2",TRUE,"nonessential"
"21","YAL022C","FUN26","verified1","growth1","FUN26","verified2","growth2",TRUE,"nonessential"
"22","YAL023C","PMT2","verified1","growth1","PMT2","verified2","growth2",TRUE,"nonessential"
"23","YAL024C","lte1","verified1","growth1","lte1","verified2","growth2",TRUE,"nonessential"
"24","YAL025C","mak16","verified1","nogrowth1","mak16","verified2","nogrowth2",TRUE,"essential"
"25","YAL026C","DRS2","verified1","growth1","DRS2","verified2","growth2",TRUE,"nonessential"
"26","YAL027W","YAL027W","verified1","growth1","YAL027W","verified2","growth2",TRUE,"nonessential"
"27","YAL028W","YAL028W","verified1","growth1","YAL028W","verified2","growth2",TRUE,"nonessential"
"28","YAL029C","MYO4","verified1","growth1","MYO4","verified2","growth2",TRUE,"nonessential"
"29","YAL030W","SNC1","verified1","growth1","SNC1","verified2","growth2",TRUE,"nonessential"
"30","YAL031C","FUN21","verified1","growth1","FUN21","verified2","growth2",TRUE,"nonessential"
"31","YAL032C","PRP45","verified1","nogrowth1","PRP45","verified2","nogrowth2",TRUE,"essential"
"32","YAL033W","POP5","verified1","nogrowth1","POP5","verified2","nogrowth2",TRUE,"essential"
"33","YAL034C","FUN19","verified1","growth1","FUN19","verified2","growth2",TRUE,"nonessential"
"34","YAL034W-A","MTW1","verified1","nogrowth1","MTW1","verified2","nogrowth2",TRUE,"essential"
"35","YAL035C-A","YAL035C-A","verified1","nogrowth1","YAL035C-A","verified2","nogrowth2",TRUE,"essential"
"36","YAL035W","FUN12","verified1","growth1","FUN12","verified2","growth2",TRUE,"nonessential"
"37","YAL036C","FUN11","verified1","growth1","FUN11","verified2","growth2",TRUE,"nonessential"
"38","YAL037W","YAL037W","verified1","growth1","YAL037W","verified2","growth2",TRUE,"nonessential"
"39","YAL038W","cdc19","verified1","nogrowth1","cdc19","verified2","nogrowth2",TRUE,"essential"
"40","YAL039C","cyc3","verified1","growth1","cyc3","verified2","growth2",TRUE,"nonessential"
"41","YAL040C","cln3","verified1","growth1","cln3","verified2","growth2",TRUE,"nonessential"
"42","YAL041W","cdc24","verified1","nogrowth1","cdc24","verified2","nogrowth2",TRUE,"essential"
"43","YAL042W","ERV46","verified1","growth1","ERV46","verified2","growth2",TRUE,"nonessential"
"44","YAL043C","pta1","verified1","nogrowth1","pta1","verified2","nogrowth2",TRUE,"essential"
"45","YAL043C-A","YAL043C-A","verified1","growth1","YAL043C-A","verified2","growth2",TRUE,"nonessential"
"46","YAL044C","GCV3","verified1","growth1","GCV3","verified2","growth2",TRUE,"nonessential"
"47","YAL045C","YAL045C","verified1","growth1","YAL045C","verified2","growth2",TRUE,"nonessential"
"48","YAL046C","YAL046C","verified1","growth1","YAL046C","verified2","growth2",TRUE,"nonessential"
"49","YAL047C","SPC72","verified1","growth1","SPC72","verified2","growth2",TRUE,"nonessential"
"50","YAL048C","YAL048C","verified1","growth1","YAL048C","verified2","growth2",TRUE,"nonessential"
"52","YAL051W","OAF1","verified1","growth1","OAF1","verified2","growth2",TRUE,"nonessential"
"53","YAL053W","YAL053W","verified1","growth1","YAL053W","verified2","growth2",TRUE,"nonessential"
