"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YAL001C","TFC3","verified1","growth1","TFC3","verified2","growth2","TRUE","nonessential",1153,0
"YAL002W","VPS8","verified1","growth1","VPS8","verified2","growth2","TRUE","nonessential",1154,0
"YAL003W","EFB1","verified1","nogrowth1","EFB1","verified2","nogrowth2","TRUE","essential",1,1
"YAL004W","YAL004W","verified1","growth1","YAL004W","verified2","growth2","TRUE","nonessential",1155,0
"YAL005C","ssa1","verified1","growth1","ssa1","verified2","growth2","TRUE","nonessential",1156,0
"YAL007C","ERP2","verified1","growth1","ERP2","verified2","growth2","TRUE","nonessential",1157,0
"YAL008W","FUN14","verified1","growth1","FUN14","verified2","growth2","TRUE","nonessential",1158,0
"YAL009W","spo7","verified1","growth1","spo7","verified2","growth2","TRUE","nonessential",1159,0
"YAL010C","mdm10","verified1","growth1","mdm10","verified2","growth2","TRUE","nonessential",1160,0
"YAL011W","YAL011W","verified1","growth1","YAL011W","verified2","growth2","TRUE","nonessential",1161,0
"YAL012W","cys3","verified1","growth1","cys3","verified2","growth2","TRUE","nonessential",1162,0
"YAL013W","DEP1","verified1","growth1","DEP1","verified2","growth2","TRUE","nonessential",1163,0
"YAL014C","YAL014C","verified1","growth1","YAL014C","verified2","growth2","TRUE","nonessential",1164,0
"YAL015C","NTG1","verified1","growth1","NTG1","verified2","growth2","TRUE","nonessential",1165,0
"YAL016W","tpd3","verified1","nogrowth1","tpd3","verified2","nogrowth2","TRUE","essential",2,1
"YAL017W","FUN31","verified1","growth1","FUN31","verified2","growth2","TRUE","nonessential",1166,0
"YAL018C","YAL018C","verified1","growth1","YAL018C","verified2","growth2","TRUE","nonessential",1167,0
"YAL019W","FUN30","verified1","growth1","FUN30","verified2","growth2","TRUE","nonessential",1168,0
"YAL020C","ATS1","verified1","growth1","ATS1","verified2","growth2","TRUE","nonessential",1169,0
"YAL021C","ccr4","verified1","growth1","ccr4","verified2","growth2","TRUE","nonessential",1170,0
"YAL022C","FUN26","verified1","growth1","FUN26","verified2","growth2","TRUE","nonessential",1171,0
"YAL023C","PMT2","verified1","growth1","PMT2","verified2","growth2","TRUE","nonessential",1172,0
"YAL024C","lte1","verified1","growth1","lte1","verified2","growth2","TRUE","nonessential",1173,0
"YAL025C","mak16","verified1","nogrowth1","mak16","verified2","nogrowth2","TRUE","essential",3,1
"YAL026C","DRS2","verified1","growth1","DRS2","verified2","growth2","TRUE","nonessential",1174,0
"YAL027W","YAL027W","verified1","growth1","YAL027W","verified2","growth2","TRUE","nonessential",1175,0
"YAL028W","YAL028W","verified1","growth1","YAL028W","verified2","growth2","TRUE","nonessential",1176,0
"YAL029C","MYO4","verified1","growth1","MYO4","verified2","growth2","TRUE","nonessential",1177,0
"YAL030W","SNC1","verified1","growth1","SNC1","verified2","growth2","TRUE","nonessential",1178,0
"YAL031C","FUN21","verified1","growth1","FUN21","verified2","growth2","TRUE","nonessential",1179,0
"YAL032C","PRP45","verified1","nogrowth1","PRP45","verified2","nogrowth2","TRUE","essential",4,1
"YAL033W","POP5","verified1","nogrowth1","POP5","verified2","nogrowth2","TRUE","essential",5,1
"YAL034C","FUN19","verified1","growth1","FUN19","verified2","growth2","TRUE","nonessential",1180,0
"YAL034W-A","MTW1","verified1","nogrowth1","MTW1","verified2","nogrowth2","TRUE","essential",6,1
"YAL035C-A","YAL035C-A","verified1","nogrowth1","YAL035C-A","verified2","nogrowth2","TRUE","essential",7,1
"YAL035W","FUN12","verified1","growth1","FUN12","verified2","growth2","TRUE","nonessential",1181,0
"YAL036C","FUN11","verified1","growth1","FUN11","verified2","growth2","TRUE","nonessential",1182,0
"YAL037W","YAL037W","verified1","growth1","YAL037W","verified2","growth2","TRUE","nonessential",1183,0
"YAL038W","cdc19","verified1","nogrowth1","cdc19","verified2","nogrowth2","TRUE","essential",8,1
"YAL039C","cyc3","verified1","growth1","cyc3","verified2","growth2","TRUE","nonessential",1184,0
"YAL040C","cln3","verified1","growth1","cln3","verified2","growth2","TRUE","nonessential",1185,0
"YAL041W","cdc24","verified1","nogrowth1","cdc24","verified2","nogrowth2","TRUE","essential",9,1
"YAL042W","ERV46","verified1","growth1","ERV46","verified2","growth2","TRUE","nonessential",1186,0
"YAL043C","pta1","verified1","nogrowth1","pta1","verified2","nogrowth2","TRUE","essential",10,1
"YAL043C-A","YAL043C-A","verified1","growth1","YAL043C-A","verified2","growth2","TRUE","nonessential",1187,0
"YAL044C","GCV3","verified1","growth1","GCV3","verified2","growth2","TRUE","nonessential",1188,0
"YAL045C","YAL045C","verified1","growth1","YAL045C","verified2","growth2","TRUE","nonessential",1189,0
"YAL046C","YAL046C","verified1","growth1","YAL046C","verified2","growth2","TRUE","nonessential",1190,0
"YAL047C","SPC72","verified1","growth1","SPC72","verified2","growth2","TRUE","nonessential",1191,0
"YAL048C","YAL048C","verified1","growth1","YAL048C","verified2","growth2","TRUE","nonessential",1192,0
"YAL051W","OAF1","verified1","growth1","OAF1","verified2","growth2","TRUE","nonessential",1193,0
"YAL053W","YAL053W","verified1","growth1","YAL053W","verified2","growth2","TRUE","nonessential",1194,0
"YAL054C","acs1","verified1","growth1","acs1","verified2","growth2","TRUE","nonessential",1195,0
"YAL055W","PEX22","verified1","growth1","PEX22","verified2","growth2","TRUE","nonessential",1196,0
"YAL056W","GPE2","verified1","growth1","GPE2","verified2","growth2","TRUE","nonessential",1197,0
"YAL058C-A","YAL058C-A","verified1","growth1","YAL058C-A","verified2","growth2","TRUE","nonessential",1198,0
"YAL058W","CNE1","verified1","growth1","CNE1","verified2","growth2","TRUE","nonessential",1199,0
"YAL059W","ECM1","verified1","growth1","ECM1","verified2","growth2","TRUE","nonessential",1200,0
"YAL060W","YAL060W","verified1","growth1","YAL060W","verified2","growth2","TRUE","nonessential",1201,0
"YAL061W","YAL061W","verified1","growth1","YAL061W","verified2","growth2","TRUE","nonessential",1202,0
"YAL062W","GDH3","verified1","growth1","GDH3","verified2","growth2","TRUE","nonessential",1203,0
"YAL064C-A","YAL064C-A","verified1","growth1","YAL064C-A","verified2","growth2","TRUE","nonessential",1204,0
"YAL065C","YAL065C","verified1","growth1","YAL065C","verified2","growth2","TRUE","nonessential",1205,0
"YAL066W","YAL066W","verified1","growth1","YAL066W","verified2","growth2","TRUE","nonessential",1206,0
"YAL067C","SEO1","verified1","growth1","SEO1","verified2","growth2","TRUE","nonessential",1207,0
"YAL068C","YAL068C","verified1","growth1","YAL068C","verified2","growth2","TRUE","nonessential",1208,0
"YAR002C-A","ERP1","verified1","growth1","ERP1","verified2","growth2","TRUE","nonessential",1209,0
"YAR002W","NUP60","verified1","growth1","NUP60","verified2","growth2","TRUE","nonessential",1210,0
"YAR003W","YAR003W","verified1","growth1","YAR003W","verified2","growth2","TRUE","nonessential",1211,0
"YAR007C","RFA1","verified1","nogrowth1","RFA1","verified2","nogrowth2","TRUE","essential",11,1
"YAR008W","SEN34","verified1","nogrowth1","SEN34","verified2","nogrowth2","TRUE","essential",12,1
"YAR014C","BUD14","verified1","growth1","BUD14","verified2","growth2","TRUE","nonessential",1212,0
"YAR015W","ade1","verified1","growth1","ade1","verified2","growth2","TRUE","nonessential",1213,0
"YAR018C","KIN3","verified1","growth1","KIN3","verified2","growth2","TRUE","nonessential",1214,0
"YAR019C","cdc15","verified1","nogrowth1","cdc15","verified2","nogrowth2","TRUE","essential",13,1
"YAR020C","PAU7","verified1","growth1","PAU7","verified2","growth2","TRUE","nonessential",1215,0
"YAR023C","YAR023C","verified1","growth1","YAR023C","verified2","growth2","TRUE","nonessential",1216,0
"YAR027W","YAR027W","verified1","growth1","YAR027W","verified2","growth2","TRUE","nonessential",1217,0
"YAR028W","YAR028W","verified1","growth1","YAR028W","verified2","growth2","TRUE","nonessential",1218,0
