Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00299        0.12403        0.00144        0.10042        0.00624        0.15319        -244.72473     0              
Line2          0.00010        0.10000        0.00174        0.13525        0.00076        0.10994        0.00399        0.16637        -242.26746     0              
Line3          0.00010        0.10000        0.00412        0.11491        0.00209        0.09239        0.00812        0.14292        -247.07663     0              
Line4          0.00010        0.10000        0.00357        0.11640        0.00173        0.09295        0.00735        0.14578        -249.02226     0              
Line5          0.00010        0.10000        0.00364        0.12134        0.00179        0.09753        0.00740        0.15095        -246.04380     0              
Line6          0.00010        0.10000        0.00194        0.13187        0.00086        0.10706        0.00437        0.16243        -243.27209     0              
Line7          0.00010        0.10000        0.00212        0.13092        0.00096        0.10617        0.00471        0.16143        -243.42276     0              
Line8          0.00010        0.10000        0.00193        0.13027        0.00084        0.10517        0.00441        0.16136        -245.45083     0              
Line9          0.00010        0.10000        0.00272        0.13243        0.00127        0.10734        0.00579        0.16339        -240.83822     0              
Line10         0.00010        0.10000        0.00197        0.12913        0.00087        0.10450        0.00445        0.15957        -245.09484     0              
Line11         0.00010        0.10000        0.00454        0.10722        0.00230        0.08488        0.00897        0.13545        -252.68904     0              
Line12         0.00010        0.10000        0.00223        0.12418        0.00100        0.09995        0.00498        0.15430        -247.79532     0              
Line13         0.00010        0.10000        0.00279        0.12773        0.00131        0.10313        0.00594        0.15820        -243.52412     0              
Line14         0.00010        0.10000        0.00257        0.13219        0.00120        0.10721        0.00551        0.16299        -241.69367     0              
Line15         0.00010        0.10000        0.00386        0.11735        0.00188        0.09312        0.00792        0.14787        -249.31134     0              
Line16         0.00010        0.10000        0.00134        0.14866        0.00057        0.12193        0.00318        0.18125        -236.40916     0              
Line17         0.00010        0.10000        0.00424        0.10806        0.00212        0.08562        0.00849        0.13637        -252.77398     0              
