Confirmed Load of Data File: M22.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00194        0.11155        0.00082        0.08870        0.00458        0.14029        -217.57029     0              
Line2          0.00010        0.10000        0.00216        0.11417        0.00096        0.09164        0.00486        0.14225        -214.33369     0              
Line3          0.00010        0.10000        0.00328        0.09561        0.00147        0.07368        0.00731        0.12408        -225.20317     0              
Line4          0.00010        0.10000        0.00188        0.10991        0.00080        0.08768        0.00440        0.13777        -217.82144     0              
Line5          0.00010        0.10000        0.00172        0.11022        0.00070        0.08695        0.00423        0.13972        -220.11531     0              
Line6          0.00010        0.10000        0.00189        0.10801        0.00080        0.08565        0.00448        0.13620        -219.89156     0              
Line7          0.00010        0.10000        0.00268        0.10365        0.00120        0.08158        0.00600        0.13170        -220.57739     0              
Line8          0.00010        0.10000        0.00180        0.11373        0.00075        0.09036        0.00432        0.14315        -217.22411     0              
Line9          0.00010        0.10000        0.00198        0.11651        0.00083        0.09237        0.00472        0.14694        -215.66467     0              
Line10         0.00010        0.10000        0.00324        0.09901        0.00152        0.07803        0.00693        0.12562        -220.86658     0              
Line11         0.00010        0.10000        0.00178        0.10327        0.00074        0.08161        0.00427        0.13068        -222.81892     0              
Line12         0.00010        0.10000        0.00343        0.09253        0.00163        0.07264        0.00721        0.11786        -224.06799     0              
Line13         0.00010        0.10000        0.00296        0.09751        0.00132        0.07592        0.00667        0.12525        -223.82877     0              
Line14         0.00010        0.10000        0.00194        0.10722        0.00081        0.08471        0.00462        0.13570        -220.30752     0              
Line15         0.00010        0.10000        0.00416        0.08968        0.00201        0.06950        0.00862        0.11572        -225.39942     0              
Line16         0.00010        0.10000        0.00328        0.09500        0.00150        0.07385        0.00713        0.12222        -224.60783     0              
Line17         0.00010        0.10000        0.00208        0.10381        0.00087        0.08135        0.00495        0.13246        -222.72977     0              
Line18         0.00010        0.10000        0.00214        0.10866        0.00094        0.08670        0.00484        0.13619        -217.77271     0              
Line19         0.00010        0.10000        0.00148        0.12059        0.00060        0.09672        0.00364        0.15036        -213.71039     0              
Line20         0.00010        0.10000        0.00128        0.12194        0.00049        0.09706        0.00331        0.15319        -214.86521     0              
Line21         0.00010        0.10000        0.00306        0.09277        0.00139        0.07215        0.00671        0.11927        -226.43835     0              
Line22         0.00010        0.10000        0.00155        0.11856        0.00063        0.09462        0.00382        0.14857        -215.06637     0              
Line23         0.00010        0.10000        0.00286        0.09992        0.00130        0.07859        0.00629        0.12702        -221.85130     0              
