020205.M5.rls.tab	040805.M5.rls.tab	041505.M5.rls.tab	090104.M5.rls.tab	122004.M5.rls.tab
14	8	16	16	14
15	13	20	17	17
19	15	20	20	17
21	15	23	20	17
23	18	24	25	19
26	18	29	30	25
27	19	31	31	26
28	20	31	31	27
29	21	33	31	33
29	22	34	32	33
29	25	36	32	35
30	25	36	32	42
30	26	36	33	42
31	26	36	34	43
31	27	37	34	47
32	28	38	34	47
34	29	38	35	47
35	30	39	35	47
35	30	39	35	48
38	31	40	36	48
38	31	40	36	49
39	32	42	39	50
40	32	42	40	51
42	36	42	42	51
44	36	42	43	53
45	37	43	44	55
47	40	48	44	55
50	42	51	44	55
51	45	57	45	56
51	46	61	NA	64
52	48	NA	NA	NA
54	49	NA	NA	NA
54	49	NA	NA	NA
55	49	NA	NA	NA
56	57	NA	NA	NA
58	59	NA	NA	NA
78	60	NA	NA	NA
NA	61	NA	NA	NA
NA	63	NA	NA	NA
NA	65	NA	NA	NA
