Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00735        0.09918        0.00372        0.07520        0.01451        0.13081        -208.21449     0              
Line2          0.00010        0.10000        0.00653        0.09317        0.00323        0.07053        0.01318        0.12308        -212.45125     0              
Line3          0.00010        0.10000        0.00878        0.07803        0.00459        0.05729        0.01679        0.10629        -217.73228     0              
Line4          0.00010        0.10000        0.00579        0.10475        0.00285        0.08101        0.01175        0.13544        -206.94395     0              
Line5          0.00010        0.10000        0.00691        0.09140        0.00348        0.06914        0.01373        0.12083        -212.56986     0              
Line6          0.00010        0.10000        0.00589        0.10070        0.00298        0.07785        0.01164        0.13025        -208.80458     0              
Line7          0.00010        0.10000        0.01006        0.08887        0.00533        0.06574        0.01899        0.12014        -210.02372     0              
Line8          0.00010        0.10000        0.01037        0.08901        0.00560        0.06674        0.01920        0.11870        -208.41230     0              
Line9          0.00010        0.10000        0.00983        0.07406        0.00525        0.05393        0.01839        0.10168        -218.35664     0              
Line10         0.00010        0.10000        0.00967        0.08543        0.00514        0.06343        0.01818        0.11505        -212.07970     0              
Line11         0.00010        0.10000        0.00804        0.08904        0.00415        0.06660        0.01558        0.11905        -212.78752     0              
Line12         0.00010        0.10000        0.00336        0.11353        0.00147        0.08782        0.00765        0.14676        -208.70590     0              
Line13         0.00010        0.10000        0.01369        0.08081        0.00771        0.05905        0.02432        0.11060        -209.04166     0              
Line14         0.00010        0.10000        0.01081        0.07819        0.00578        0.05669        0.02023        0.10785        -214.87836     0              
Line15         0.00010        0.10000        0.01492        0.06837        0.00838        0.04781        0.02657        0.09777        -215.24281     0              
Line16         0.00010        0.10000        0.00918        0.08110        0.00466        0.05868        0.01810        0.11206        -216.01709     0              
Line17         0.00010        0.10000        0.00816        0.09570        0.00424        0.07258        0.01570        0.12619        -208.18636     0              
Line18         0.00010        0.10000        0.01204        0.07338        0.00648        0.05240        0.02237        0.10278        -216.01294     0              
Line19         0.00010        0.10000        0.00684        0.09696        0.00348        0.07408        0.01342        0.12691        -209.79693     0              
Line20         0.00010        0.10000        0.00807        0.08996        0.00419        0.06771        0.01553        0.11951        -211.88422     0              
Line21         0.00010        0.10000        0.00807        0.08168        0.00407        0.05975        0.01599        0.11166        -217.46162     0              
Line22         0.00010        0.10000        0.00694        0.09524        0.00347        0.07156        0.01388        0.12675        -211.49237     0              
Line23         0.00010        0.10000        0.00946        0.08434        0.00502        0.06253        0.01783        0.11376        -213.20495     0              
Line24         0.00010        0.10000        0.00929        0.08223        0.00490        0.06066        0.01762        0.11147        -214.55165     0              
Line25         0.00010        0.10000        0.00522        0.10177        0.00250        0.07810        0.01091        0.13261        -210.02574     0              
Line26         0.00010        0.10000        0.00632        0.09868        0.00312        0.07471        0.01280        0.13033        -210.37447     0              
Line27         0.00010        0.10000        0.00662        0.09149        0.00329        0.06882        0.01331        0.12163        -213.63892     0              
Line28         0.00010        0.10000        0.00991        0.08248        0.00530        0.06077        0.01851        0.11196        -213.68917     0              
Line29         0.00010        0.10000        0.00843        0.08725        0.00441        0.06541        0.01610        0.11639        -212.74570     0              
Line30         0.00010        0.10000        0.00679        0.09088        0.00337        0.06811        0.01365        0.12126        -213.73480     0              
Line31         0.00010        0.10000        0.00604        0.09726        0.00294        0.07358        0.01244        0.12856        -211.73468     0              
Line32         0.00010        0.10000        0.00877        0.08904        0.00462        0.06685        0.01667        0.11861        -211.11268     0              
Line33         0.00010        0.10000        0.00742        0.09562        0.00372        0.07225        0.01477        0.12657        -209.63744     0              
Line34         0.00010        0.10000        0.00882        0.08310        0.00459        0.06140        0.01696        0.11247        -214.85235     0              
Line35         0.00010        0.10000        0.00964        0.08244        0.00511        0.06062        0.01817        0.11211        -214.15431     0              
Line36         0.00010        0.10000        0.00763        0.09320        0.00398        0.07097        0.01463        0.12239        -210.33016     0              
Line37         0.00010        0.10000        0.00719        0.09090        0.00362        0.06826        0.01425        0.12104        -212.98480     0              
Line38         0.00010        0.10000        0.00491        0.10623        0.00236        0.08217        0.01020        0.13733        -208.13088     0              
Line39         0.00010        0.10000        0.00909        0.07687        0.00474        0.05594        0.01742        0.10562        -218.39122     0              
Line40         0.00010        0.10000        0.00554        0.10468        0.00265        0.07975        0.01158        0.13740        -208.61145     0              
Line41         0.00010        0.10000        0.00798        0.08648        0.00409        0.06446        0.01560        0.11602        -214.02913     0              
Line42         0.00010        0.10000        0.00537        0.10207        0.00256        0.07782        0.01125        0.13386        -210.13616     0              
Line43         0.00010        0.10000        0.00571        0.10690        0.00279        0.08219        0.01169        0.13903        -206.79970     0              
Line44         0.00010        0.10000        0.00962        0.08339        0.00510        0.06136        0.01814        0.11334        -213.90040     0              
Line45         0.00010        0.10000        0.00777        0.09965        0.00396        0.07537        0.01523        0.13174        -207.41610     0              
Line46         0.00010        0.10000        0.00750        0.08746        0.00378        0.06538        0.01490        0.11701        -213.84488     0              
Line47         0.00010        0.10000        0.00518        0.10489        0.00255        0.08145        0.01054        0.13508        -207.67831     0              
Line48         0.00010        0.10000        0.00489        0.10457        0.00236        0.08117        0.01013        0.13470        -208.38843     0              
Line49         0.00010        0.10000        0.00533        0.09511        0.00251        0.07187        0.01134        0.12588        -213.53816     0              
Line50         0.00010        0.10000        0.01011        0.08061        0.00549        0.05985        0.01860        0.10855        -213.86388     0              
Line51         0.00010        0.10000        0.01210        0.07559        0.00664        0.05465        0.02203        0.10455        -214.30225     0              
Line52         0.00010        0.10000        0.00795        0.09225        0.00413        0.06974        0.01531        0.12201        -210.87328     0              
Line53         0.00010        0.10000        0.00907        0.07980        0.00469        0.05810        0.01753        0.10960        -216.85929     0              
Line54         0.00010        0.10000        0.00828        0.08971        0.00426        0.06675        0.01610        0.12057        -212.47973     0              
Line55         0.00010        0.10000        0.00730        0.08563        0.00367        0.06356        0.01452        0.11537        -216.27093     0              
Line56         0.00010        0.10000        0.01025        0.08072        0.00546        0.05896        0.01923        0.11050        -214.23161     0              
Line57         0.00010        0.10000        0.00668        0.09123        0.00339        0.06921        0.01319        0.12025        -213.00676     0              
Line58         0.00010        0.10000        0.00613        0.09538        0.00299        0.07233        0.01259        0.12578        -212.00429     0              
