Confirmed Load of Data File: SK1.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.01595        0.06539        0.00966        0.04724        0.02633        0.09051        -264.74810     0              
Line2          0.00010        0.10000        0.00992        0.08147        0.00570        0.06235        0.01727        0.10646        -262.37503     0              
Line3          0.00010        0.10000        0.01288        0.07210        0.00788        0.05474        0.02105        0.09495        -263.53529     0              
Line4          0.00010        0.10000        0.01101        0.07353        0.00638        0.05522        0.01901        0.09791        -266.34497     0              
Line5          0.00010        0.10000        0.01327        0.06667        0.00784        0.04866        0.02247        0.09137        -268.26255     0              
Line6          0.00010        0.10000        0.01435        0.06833        0.00865        0.05036        0.02381        0.09271        -264.70790     0              
Line7          0.00010        0.10000        0.01002        0.08046        0.00580        0.06172        0.01730        0.10489        -262.78295     0              
Line8          0.00010        0.10000        0.00920        0.08040        0.00529        0.06173        0.01602        0.10473        -264.47412     0              
Line9          0.00010        0.10000        0.01043        0.08362        0.00603        0.06409        0.01802        0.10910        -260.06340     0              
Line10         0.00010        0.10000        0.00744        0.08763        0.00420        0.06882        0.01318        0.11158        -261.64255     0              
Line11         0.00010        0.10000        0.01539        0.06926        0.00906        0.04947        0.02616        0.09696        -263.69544     0              
Line12         0.00010        0.10000        0.00783        0.08645        0.00433        0.06671        0.01415        0.11202        -263.43067     0              
Line13         0.00010        0.10000        0.01617        0.06768        0.00961        0.04814        0.02721        0.09514        -263.45071     0              
Line14         0.00010        0.10000        0.01095        0.07350        0.00644        0.05570        0.01864        0.09698        -265.96168     0              
Line15         0.00010        0.10000        0.01379        0.07252        0.00830        0.05423        0.02290        0.09697        -262.34046     0              
Line16         0.00010        0.10000        0.01151        0.07528        0.00679        0.05684        0.01953        0.09970        -264.52844     0              
Line17         0.00010        0.10000        0.01025        0.09403        0.00587        0.07262        0.01792        0.12176        -253.99268     0              
Line18         0.00010        0.10000        0.00885        0.09442        0.00500        0.07374        0.01565        0.12090        -255.70134     0              
Line19         0.00010        0.10000        0.01717        0.06602        0.01041        0.04718        0.02831        0.09238        -262.69525     0              
Line20         0.00010        0.10000        0.01330        0.07581        0.00800        0.05729        0.02213        0.10032        -260.55583     0              
Line21         0.00010        0.10000        0.01404        0.06698        0.00838        0.04928        0.02353        0.09103        -265.98500     0              
Line22         0.00010        0.10000        0.01099        0.08303        0.00629        0.06272        0.01919        0.10993        -260.12929     0              
Line23         0.00010        0.10000        0.01480        0.05895        0.00899        0.04252        0.02437        0.08173        -271.15207     0              
Line24         0.00010        0.10000        0.02038        0.06183        0.01236        0.04278        0.03361        0.08936        -261.26333     0              
Line25         0.00010        0.10000        0.00971        0.08019        0.00559        0.06147        0.01685        0.10462        -263.90542     0              
