Confirmed Load of Data File: YPS128.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00099        0.11932        0.00040        0.09744        0.00243        0.14611        -248.22701     0              
Line2          0.00010        0.10000        0.00040        0.15059        0.00014        0.12408        0.00117        0.18277        -234.92680     0              
Line3          0.00010        0.10000        0.00124        0.11522        0.00053        0.09411        0.00289        0.14107        -249.07444     0              
Line4          0.00010        0.10000        0.00112        0.11794        0.00047        0.09622        0.00269        0.14457        -248.67838     0              
Line5          0.00010        0.10000        0.00183        0.10749        0.00084        0.08770        0.00396        0.13175        -251.83045     0              
Line6          0.00010        0.10000        0.00139        0.11292        0.00061        0.09209        0.00321        0.13847        -250.05793     0              
Line7          0.00010        0.10000        0.00140        0.10948        0.00060        0.08858        0.00329        0.13530        -253.01729     0              
Line8          0.00010        0.10000        0.00114        0.11924        0.00048        0.09753        0.00271        0.14578        -247.08585     0              
Line9          0.00010        0.10000        0.00190        0.10788        0.00086        0.08693        0.00424        0.13388        -253.77182     0              
Line10         0.00010        0.10000        0.00109        0.11705        0.00045        0.09514        0.00266        0.14400        -249.83690     0              
Line11         0.00010        0.10000        0.00076        0.12642        0.00030        0.10392        0.00193        0.15380        -244.12456     0              
Line12         0.00010        0.10000        0.00085        0.12429        0.00033        0.10137        0.00218        0.15241        -246.65884     0              
Line13         0.00010        0.10000        0.00162        0.11399        0.00072        0.09262        0.00366        0.14028        -249.76960     0              
Line14         0.00010        0.10000        0.00150        0.11248        0.00065        0.09106        0.00347        0.13894        -251.56697     0              
Line15         0.00010        0.10000        0.00142        0.11054        0.00061        0.08962        0.00330        0.13635        -252.43285     0              
Line16         0.00010        0.10000        0.00147        0.11203        0.00064        0.09091        0.00338        0.13806        -251.50688     0              
Line17         0.00010        0.10000        0.00205        0.10343        0.00095        0.08353        0.00446        0.12808        -254.69515     0              
Line18         0.00010        0.10000        0.00080        0.12663        0.00031        0.10305        0.00209        0.15562        -246.52498     0              
Line19         0.00010        0.10000        0.00070        0.13567        0.00027        0.11161        0.00182        0.16492        -239.89225     0              
Line20         0.00010        0.10000        0.00103        0.12095        0.00042        0.09864        0.00252        0.14832        -247.27381     0              
Line21         0.00010        0.10000        0.00149        0.10938        0.00064        0.08804        0.00351        0.13588        -254.24692     0              
Line22         0.00010        0.10000        0.00043        0.14178        0.00015        0.11654        0.00123        0.17249        -238.02837     0              
Line23         0.00010        0.10000        0.00068        0.13234        0.00026        0.10906        0.00177        0.16058        -241.23164     0              
Line24         0.00010        0.10000        0.00106        0.11977        0.00044        0.09781        0.00257        0.14666        -247.63840     0              
Line25         0.00010        0.10000        0.00073        0.12844        0.00028        0.10495        0.00191        0.15718        -244.68587     0              
Line26         0.00010        0.10000        0.00167        0.10687        0.00073        0.08628        0.00378        0.13237        -254.11983     0              
Line27         0.00010        0.10000        0.00174        0.10554        0.00076        0.08467        0.00398        0.13156        -256.00806     0              
Line28         0.00010        0.10000        0.00069        0.12906        0.00026        0.10567        0.00183        0.15763        -244.26161     0              
Line29         0.00010        0.10000        0.00058        0.13483        0.00022        0.11132        0.00153        0.16329        -239.40606     0              
Line30         0.00010        0.10000        0.00104        0.12077        0.00043        0.09876        0.00251        0.14770        -247.21565     0              
Line31         0.00010        0.10000        0.00086        0.12436        0.00035        0.10233        0.00213        0.15113        -244.35546     0              
Line32         0.00010        0.10000        0.00109        0.11681        0.00045        0.09530        0.00262        0.14316        -249.92495     0              
Line33         0.00010        0.10000        0.00050        0.13443        0.00018        0.11043        0.00138        0.16364        -241.50680     0              
Line34         0.00010        0.10000        0.00053        0.13668        0.00019        0.11217        0.00147        0.16654        -241.02779     0              
