010305.YPS163.rls.tab	020905.YPS163.rls.tab	030105.YPS163.rls.tab	040805.YPS163.rls.tab
15	28	25	11
18	29	25	14
19	30	26	14
20	31	27	15
23	32	28	15
24	32	28	18
24	34	31	18
25	35	32	23
27	36	33	23
28	37	34	24
29	37	34	24
30	37	35	24
33	37	35	26
33	38	35	27
34	39	36	29
34	39	36	29
36	39	36	30
37	39	39	31
37	40	39	32
37	40	39	34
38	40	39	34
38	42	40	35
38	42	40	35
39	43	41	36
39	43	42	36
40	44	44	37
41	44	44	37
42	45	45	37
46	45	47	40
48	45	47	40
NA	NA	NA	41
NA	NA	NA	41
NA	NA	NA	42
NA	NA	NA	43
NA	NA	NA	44
NA	NA	NA	44
NA	NA	NA	46
NA	NA	NA	47
NA	NA	NA	49
NA	NA	NA	55
