strain	rls	rls.sd	a	a.sd	b	b.sd
101S	30.7273597	0.9834996	0.0013702	0.0009724	0.1487979	0.0414805
BY4716	31.2822222	1.4392882	0.005455	0.0016124	0.074922	0.011096
BY4742	20.6283058	0.9617399	0.0165064	0.0022441	0.0676765	0.0087833
BY4743	33.1934568	0.8905694	0.0040304	0.0012531	0.0802222	0.0113155
M1-2	27.8696845	1.131092	0.0024437	0.001138	0.128362	0.0153813
M13	26.6502041	1.1638897	0.0029551	0.0011329	0.1252717	0.0124148
M14	36.5844444	1.5056074	0.0018812	0.0007489	0.0949553	0.0118449
M22	31.8027778	1.2653731	0.0023827	0.0008808	0.1075112	0.0101527
M2-8	24.7707937	0.7668717	0.0041838	0.000973	0.1193465	0.0105487
M32	28.1375	0.7976344	0.0017568	0.0005036	0.1417765	0.0096741
M34	26.8427467	1.031828	0.0012919	0.0007184	0.1629953	0.021615
M5	38.7288889	1.3622841	0.0019332	0.0006981	0.0877245	0.0094931
M8	35.215	0.94663	0.0003775	0.0001812	0.1619232	0.0155648
PSY316	20.98375	1.1760777	0.0057433	0.0021355	0.1327725	0.0177311
RM112N	44.5711003	1.5479992	0.0009912	0.000409	0.0928569	0.0107508
RXB	29.1533888	1.7683635	0.0052455	0.0024662	0.0887276	0.0323888
SGU57	23.5713436	1.5490514	0.0080278	0.0022162	0.0901459	0.0097697
sir2Da	12.5284	0.6124036	0.0109654	0.0030541	0.2088268	0.0278284
sir2Dalpha	12.729455	0.485152	0.0103447	0.0029131	0.2121374	0.0331827
sir2DSIR2	15.9063265	0.8115757	0.0142391	0.0029755	0.1204911	0.011601
SK1	19.5758477	1.8191581	0.0177454	0.0056088	0.0708759	0.0201075
srp1ts	6.8954082	0.5353993	0.0278804	0.0177721	0.3455496	0.126015
W303	18.6338776	0.5551042	0.0034067	0.0011355	0.1985827	0.0240566
YPS128	34.9985297	1.2424454	0.0011183	0.0004531	0.1209893	0.0110213
YPS163	33.2772	0.8351521	0.0013362	0.0004536	0.1215294	0.0112653
