expt	a	b	a_low	a_up	b_low	b_up	avg	avg_se	median	n
101S.merged	0.00156	0.12892	0.00069	0.00353	0.10617	0.15655	30.893	0.985	33.000	56.000
BY4743.merged	0.00403	0.07864	0.00238	0.00683	0.06541	0.09455	33.40	1.13	33.00	90.00
M1-2.merged	0.00245	0.12310	0.00103	0.00583	0.09686	0.15645	27.83	1.24	29.50	54.00
M13.merged	0.00293	0.12285	0.00139	0.00617	0.09897	0.15249	26.54	1.08	28.00	70.00
M14.merged	0.00195	0.09149	0.00084	0.00452	0.07197	0.11630	36.55	1.64	39.00	60.00
M2-8.merged	0.00436	0.11608	0.00256	0.00744	0.09766	0.13798	24.81	0.79	24.00	105.00
M22.merged	0.00211	0.10821	0.00091	0.00490	0.08582	0.13644	31.83	1.31	32.50	60.00
M32.merged	0.00174	0.14043	0.00074	0.00409	0.11410	0.17285	27.967	0.882	26.500	60.000
M34.merged	0.00129	0.15693	0.00047	0.00353	0.12489	0.19719	27.02	1.07	28.50	58.00
M5.merged	0.00200	0.08523	0.00090	0.00441	0.06789	0.10700	38.62	1.59	39.50	60.00
M8.merged	0.00037	0.15889	0.00012	0.00113	0.13029	0.19376	34.933	0.884	36.000	60.000
RM112N.merged	0.00178	0.08186	0.00078	0.00406	0.06479	0.10343	40.88	1.72	41.00	60.00
YPS128.merged	0.00110	0.11866	0.00046	0.00266	0.09682	0.14543	35.00	1.16	36.00	69.00
YPS163.merged	0.00135	0.11951	0.00068	0.00267	0.10150	0.14071	33.34	0.91	35.00	100.00
