Confirmed Load of Data File: M1-2.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00299        0.12771        0.00127        0.09993        0.00700        0.16322        -186.65206     0              
Line2          0.00010        0.10000        0.00149        0.14688        0.00056        0.11633        0.00401        0.18546        -182.57870     0              
Line3          0.00010        0.10000        0.00206        0.13738        0.00087        0.11044        0.00488        0.17089        -182.67040     0              
Line4          0.00010        0.10000        0.00075        0.15945        0.00024        0.12661        0.00235        0.20081        -180.16212     0              
Line5          0.00010        0.10000        0.00367        0.10696        0.00166        0.08309        0.00811        0.13769        -194.38674     0              
Line6          0.00010        0.10000        0.00276        0.12041        0.00116        0.09395        0.00656        0.15432        -190.64746     0              
Line7          0.00010        0.10000        0.00335        0.11684        0.00153        0.09230        0.00732        0.14790        -189.66463     0              
Line8          0.00010        0.10000        0.00125        0.14384        0.00047        0.11494        0.00335        0.18000        -182.97868     0              
Line9          0.00010        0.10000        0.00314        0.11510        0.00135        0.08939        0.00732        0.14821        -192.17092     0              
Line10         0.00010        0.10000        0.00700        0.09660        0.00346        0.07267        0.01415        0.12840        -195.15439     0              
Line11         0.00010        0.10000        0.00209        0.13542        0.00081        0.10583        0.00538        0.17328        -186.09780     0              
Line12         0.00010        0.10000        0.00255        0.12323        0.00108        0.09705        0.00604        0.15649        -188.71274     0              
Line13         0.00010        0.10000        0.00206        0.12916        0.00080        0.10044        0.00530        0.16610        -189.73949     0              
Line14         0.00010        0.10000        0.00295        0.11769        0.00127        0.09212        0.00685        0.15037        -190.57484     0              
Line15         0.00010        0.10000        0.00308        0.11689        0.00133        0.09112        0.00713        0.14996        -191.02833     0              
Line16         0.00010        0.10000        0.00222        0.12864        0.00091        0.10140        0.00544        0.16320        -187.71989     0              
Line17         0.00010        0.10000        0.00207        0.12908        0.00079        0.10004        0.00538        0.16654        -190.37128     0              
Line18         0.00010        0.10000        0.00263        0.12766        0.00108        0.09951        0.00639        0.16377        -188.22359     0              
Line19         0.00010        0.10000        0.00269        0.13489        0.00111        0.10533        0.00652        0.17275        -186.20693     0              
Line20         0.00010        0.10000        0.00317        0.11746        0.00135        0.09069        0.00745        0.15213        -191.96664     0              
Line21         0.00010        0.10000        0.00364        0.10746        0.00162        0.08279        0.00817        0.13949        -195.46834     0              
Line22         0.00010        0.10000        0.00145        0.13661        0.00054        0.10798        0.00387        0.17282        -186.40588     0              
Line23         0.00010        0.10000        0.00211        0.12444        0.00084        0.09748        0.00527        0.15886        -190.03497     0              
Line24         0.00010        0.10000        0.00195        0.13535        0.00075        0.10564        0.00510        0.17341        -187.32776     0              
Line25         0.00010        0.10000        0.00552        0.10538        0.00265        0.08083        0.01149        0.13740        -192.81650     0              
Line26         0.00010        0.10000        0.00267        0.12227        0.00114        0.09596        0.00629        0.15580        -189.61542     0              
Line27         0.00010        0.10000        0.00297        0.11458        0.00126        0.08863        0.00701        0.14812        -193.54940     0              
Line28         0.00010        0.10000        0.00103        0.14650        0.00036        0.11647        0.00294        0.18428        -183.82253     0              
Line29         0.00010        0.10000        0.00129        0.14705        0.00047        0.11696        0.00350        0.18487        -182.15394     0              
Line30         0.00010        0.10000        0.00243        0.11700        0.00102        0.09172        0.00580        0.14926        -192.00162     0              
Line31         0.00010        0.10000        0.00102        0.15757        0.00035        0.12500        0.00297        0.19861        -180.62532     0              
Line32         0.00010        0.10000        0.00084        0.15330        0.00029        0.12278        0.00245        0.19142        -180.66728     0              
Line33         0.00010        0.10000        0.00246        0.12790        0.00100        0.09967        0.00606        0.16413        -188.60180     0              
Line34         0.00010        0.10000        0.00196        0.12750        0.00080        0.10117        0.00482        0.16069        -187.73488     0              
Line35         0.00010        0.10000        0.00140        0.13997        0.00053        0.11155        0.00370        0.17562        -184.03537     0              
Line36         0.00010        0.10000        0.00243        0.12459        0.00099        0.09732        0.00599        0.15949        -189.59101     0              
Line37         0.00010        0.10000        0.00166        0.12684        0.00063        0.09924        0.00438        0.16210        -190.92259     0              
Line38         0.00010        0.10000        0.00257        0.12007        0.00110        0.09454        0.00603        0.15249        -190.12302     0              
Line39         0.00010        0.10000        0.00353        0.11052        0.00150        0.08471        0.00827        0.14418        -194.29476     0              
Line40         0.00010        0.10000        0.00227        0.12565        0.00094        0.09885        0.00551        0.15971        -189.15123     0              
Line41         0.00010        0.10000        0.00362        0.11013        0.00161        0.08543        0.00810        0.14196        -193.28979     0              
Line42         0.00010        0.10000        0.00273        0.11929        0.00111        0.09188        0.00670        0.15488        -192.33153     0              
Line43         0.00010        0.10000        0.00258        0.12870        0.00105        0.10012        0.00634        0.16542        -188.00627     0              
Line44         0.00010        0.10000        0.00273        0.12537        0.00113        0.09738        0.00663        0.16142        -189.01593     0              
Line45         0.00010        0.10000        0.00196        0.14084        0.00079        0.11189        0.00489        0.17728        -182.45511     0              
Line46         0.00010        0.10000        0.00258        0.12298        0.00106        0.09575        0.00626        0.15796        -190.11210     0              
Line47         0.00010        0.10000        0.00453        0.10137        0.00207        0.07715        0.00993        0.13319        -196.48016     0              
Line48         0.00010        0.10000        0.00139        0.14075        0.00052        0.11199        0.00369        0.17689        -184.93778     0              
Line49         0.00010        0.10000        0.00181        0.13022        0.00070        0.10246        0.00463        0.16550        -188.52682     0              
Line50         0.00010        0.10000        0.00198        0.12875        0.00077        0.10055        0.00509        0.16486        -189.10849     0              
Line51         0.00010        0.10000        0.00138        0.14365        0.00049        0.11260        0.00388        0.18327        -185.21071     0              
Line52         0.00010        0.10000        0.00038        0.17839        0.00011        0.14437        0.00129        0.22044        -173.14749     0              
Line53         0.00010        0.10000        0.00202        0.13957        0.00076        0.10827        0.00536        0.17993        -186.06945     0              
Line54         0.00010        0.10000        0.00310        0.11970        0.00136        0.09376        0.00708        0.15281        -189.72451     0              
