Confirmed Load of Data File: M14.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00107        0.10746        0.00041        0.08524        0.00284        0.13546        -223.49494     0              
Line2          0.00010        0.10000        0.00130        0.10324        0.00052        0.08200        0.00327        0.12998        -224.55756     0              
Line3          0.00010        0.10000        0.00212        0.09009        0.00091        0.07033        0.00492        0.11541        -231.22718     0              
Line4          0.00010        0.10000        0.00173        0.09014        0.00074        0.07122        0.00405        0.11409        -230.75709     0              
Line5          0.00010        0.10000        0.00160        0.10137        0.00062        0.07866        0.00413        0.13063        -227.14702     0              
Line6          0.00010        0.10000        0.00155        0.09445        0.00064        0.07480        0.00373        0.11926        -228.79010     0              
Line7          0.00010        0.10000        0.00089        0.11471        0.00033        0.09166        0.00242        0.14357        -219.45712     0              
Line8          0.00010        0.10000        0.00126        0.10176        0.00049        0.08034        0.00324        0.12889        -226.11521     0              
Line9          0.00010        0.10000        0.00099        0.10485        0.00038        0.08359        0.00262        0.13153        -224.05874     0              
Line10         0.00010        0.10000        0.00163        0.09776        0.00067        0.07696        0.00397        0.12419        -227.34987     0              
Line11         0.00010        0.10000        0.00234        0.08470        0.00102        0.06566        0.00537        0.10928        -233.89577     0              
Line12         0.00010        0.10000        0.00186        0.09490        0.00078        0.07441        0.00443        0.12102        -228.60434     0              
Line13         0.00010        0.10000        0.00164        0.09507        0.00068        0.07509        0.00393        0.12038        -228.31660     0              
Line14         0.00010        0.10000        0.00226        0.08560        0.00099        0.06684        0.00514        0.10963        -232.93266     0              
Line15         0.00010        0.10000        0.00229        0.08959        0.00097        0.06915        0.00539        0.11607        -231.83558     0              
Line16         0.00010        0.10000        0.00393        0.07409        0.00192        0.05697        0.00805        0.09637        -236.04865     0              
Line17         0.00010        0.10000        0.00192        0.09366        0.00082        0.07358        0.00452        0.11923        -228.64627     0              
Line18         0.00010        0.10000        0.00255        0.08367        0.00115        0.06514        0.00564        0.10747        -233.35090     0              
Line19         0.00010        0.10000        0.00296        0.08047        0.00137        0.06239        0.00640        0.10379        -234.09506     0              
Line20         0.00010        0.10000        0.00218        0.08560        0.00095        0.06674        0.00501        0.10977        -233.24289     0              
Line21         0.00010        0.10000        0.00062        0.11885        0.00022        0.09569        0.00177        0.14761        -217.38808     0              
Line22         0.00010        0.10000        0.00084        0.10858        0.00031        0.08691        0.00228        0.13565        -222.00333     0              
Line23         0.00010        0.10000        0.00282        0.08529        0.00131        0.06682        0.00608        0.10886        -230.69140     0              
Line24         0.00010        0.10000        0.00239        0.08413        0.00106        0.06560        0.00537        0.10791        -233.53582     0              
Line25         0.00010        0.10000        0.00259        0.08590        0.00116        0.06676        0.00578        0.11052        -232.11345     0              
Line26         0.00010        0.10000        0.00174        0.09300        0.00073        0.07306        0.00416        0.11838        -229.75123     0              
Line27         0.00010        0.10000        0.00228        0.09246        0.00098        0.07197        0.00530        0.11879        -228.91369     0              
Line28         0.00010        0.10000        0.00103        0.10515        0.00039        0.08388        0.00268        0.13181        -223.81228     0              
Line29         0.00010        0.10000        0.00174        0.09480        0.00074        0.07496        0.00411        0.11990        -227.79978     0              
Line30         0.00010        0.10000        0.00220        0.08417        0.00094        0.06499        0.00519        0.10902        -235.00055     0              
Line31         0.00010        0.10000        0.00249        0.08686        0.00110        0.06753        0.00562        0.11173        -231.55717     0              
Line32         0.00010        0.10000        0.00273        0.08527        0.00122        0.06582        0.00614        0.11045        -232.49059     0              
Line33         0.00010        0.10000        0.00209        0.08591        0.00089        0.06664        0.00491        0.11075        -234.05866     0              
Line34         0.00010        0.10000        0.00072        0.11776        0.00024        0.09283        0.00216        0.14938        -221.02786     0              
Line35         0.00010        0.10000        0.00078        0.10862        0.00028        0.08702        0.00213        0.13559        -222.71013     0              
Line36         0.00010        0.10000        0.00194        0.09201        0.00084        0.07262        0.00447        0.11658        -228.85797     0              
Line37         0.00010        0.10000        0.00129        0.10214        0.00050        0.08015        0.00338        0.13016        -226.47866     0              
Line38         0.00010        0.10000        0.00291        0.08172        0.00132        0.06300        0.00642        0.10601        -234.14416     0              
Line39         0.00010        0.10000        0.00145        0.09725        0.00058        0.07663        0.00361        0.12341        -228.70847     0              
Line40         0.00010        0.10000        0.00197        0.08955        0.00084        0.06988        0.00467        0.11475        -231.58583     0              
Line41         0.00010        0.10000        0.00300        0.08060        0.00139        0.06259        0.00646        0.10378        -233.71894     0              
Line42         0.00010        0.10000        0.00236        0.08951        0.00107        0.07060        0.00521        0.11349        -229.04335     0              
Line43         0.00010        0.10000        0.00172        0.09410        0.00071        0.07381        0.00415        0.11997        -229.41913     0              
Line44         0.00010        0.10000        0.00296        0.09054        0.00141        0.07169        0.00624        0.11435        -226.10580     0              
Line45         0.00010        0.10000        0.00028        0.13852        0.00008        0.11096        0.00099        0.17293        -211.59950     0              
Line46         0.00010        0.10000        0.00235        0.09022        0.00103        0.07034        0.00538        0.11572        -229.77049     0              
Line47         0.00010        0.10000        0.00194        0.09602        0.00083        0.07578        0.00452        0.12168        -226.53209     0              
Line48         0.00010        0.10000        0.00292        0.08550        0.00134        0.06653        0.00634        0.10989        -231.23672     0              
Line49         0.00010        0.10000        0.00150        0.09725        0.00061        0.07679        0.00369        0.12318        -227.81220     0              
Line50         0.00010        0.10000        0.00063        0.12321        0.00021        0.09840        0.00186        0.15428        -216.67761     0              
Line51         0.00010        0.10000        0.00313        0.07918        0.00147        0.06150        0.00664        0.10193        -234.37619     0              
Line52         0.00010        0.10000        0.00166        0.09643        0.00069        0.07636        0.00396        0.12178        -227.01460     0              
Line53         0.00010        0.10000        0.00148        0.09569        0.00060        0.07540        0.00366        0.12145        -229.03452     0              
Line54         0.00010        0.10000        0.00209        0.08561        0.00091        0.06686        0.00483        0.10961        -233.33058     0              
Line55         0.00010        0.10000        0.00181        0.10119        0.00074        0.07931        0.00440        0.12909        -225.22675     0              
