Confirmed Load of Data File: PSY316.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00577        0.13628        0.00240        0.10133        0.01383        0.18329        -132.55287     0              
Line2          0.00010        0.10000        0.00402        0.14435        0.00155        0.10842        0.01041        0.19220        -132.14938     0              
Line3          0.00010        0.10000        0.00881        0.10537        0.00391        0.07459        0.01985        0.14886        -139.46205     0              
Line4          0.00010        0.10000        0.00361        0.13936        0.00137        0.10479        0.00948        0.18533        -133.51320     0              
Line5          0.00010        0.10000        0.00756        0.10787        0.00327        0.07706        0.01748        0.15100        -139.66423     0              
Line6          0.00010        0.10000        0.00424        0.14830        0.00168        0.11219        0.01072        0.19604        -130.71634     0              
Line7          0.00010        0.10000        0.00873        0.10915        0.00388        0.07761        0.01962        0.15351        -138.22639     0              
Line8          0.00010        0.10000        0.00516        0.13571        0.00207        0.10046        0.01285        0.18333        -133.63855     0              
Line9          0.00010        0.10000        0.00822        0.11097        0.00358        0.07876        0.01887        0.15635        -138.46774     0              
Line10         0.00010        0.10000        0.00915        0.10695        0.00410        0.07615        0.02042        0.15021        -138.33576     0              
Line11         0.00010        0.10000        0.00347        0.17492        0.00123        0.13124        0.00974        0.23314        -126.46253     0              
Line12         0.00010        0.10000        0.00486        0.14149        0.00196        0.10598        0.01205        0.18890        -132.02778     0              
Line13         0.00010        0.10000        0.00620        0.12468        0.00259        0.09115        0.01485        0.17055        -135.77156     0              
Line14         0.00010        0.10000        0.00493        0.12481        0.00198        0.09207        0.01230        0.16919        -136.58819     0              
Line15         0.00010        0.10000        0.00465        0.13654        0.00176        0.09970        0.01226        0.18699        -134.89247     0              
Line16         0.00010        0.10000        0.00742        0.12171        0.00318        0.08812        0.01731        0.16810        -135.79328     0              
Line17         0.00010        0.10000        0.00972        0.11285        0.00444        0.08087        0.02130        0.15749        -136.08444     0              
Line18         0.00010        0.10000        0.00420        0.14130        0.00164        0.10600        0.01076        0.18835        -132.58582     0              
Line19         0.00010        0.10000        0.00588        0.12916        0.00247        0.09575        0.01400        0.17422        -134.16341     0              
Line20         0.00010        0.10000        0.00868        0.11478        0.00384        0.08211        0.01964        0.16045        -136.52290     0              
Line21         0.00010        0.10000        0.00509        0.12897        0.00202        0.09464        0.01282        0.17574        -135.84381     0              
Line22         0.00010        0.10000        0.00264        0.16766        0.00091        0.12681        0.00765        0.22166        -128.26905     0              
Line23         0.00010        0.10000        0.00434        0.15386        0.00158        0.11256        0.01191        0.21031        -131.64069     0              
Line24         0.00010        0.10000        0.00439        0.13404        0.00172        0.09957        0.01122        0.18043        -134.79428     0              
Line25         0.00010        0.10000        0.00231        0.16011        0.00080        0.12265        0.00660        0.20900        -129.17175     0              
Line26         0.00010        0.10000        0.00611        0.13011        0.00257        0.09622        0.01450        0.17593        -133.86628     0              
Line27         0.00010        0.10000        0.00477        0.13304        0.00187        0.09835        0.01212        0.17996        -134.82226     0              
Line28         0.00010        0.10000        0.00667        0.13280        0.00287        0.09839        0.01552        0.17925        -132.79288     0              
Line29         0.00010        0.10000        0.00510        0.13350        0.00202        0.09826        0.01284        0.18136        -134.62271     0              
Line30         0.00010        0.10000        0.00613        0.12485        0.00257        0.09164        0.01464        0.17011        -135.67986     0              
Line31         0.00010        0.10000        0.00268        0.14761        0.00092        0.11036        0.00779        0.19743        -133.46639     0              
Line32         0.00010        0.10000        0.00204        0.17041        0.00067        0.12973        0.00619        0.22385        -128.27492     0              
Line33         0.00010        0.10000        0.00572        0.13146        0.00241        0.09797        0.01360        0.17639        -133.50037     0              
Line34         0.00010        0.10000        0.00591        0.12771        0.00244        0.09381        0.01430        0.17386        -134.91861     0              
Line35         0.00010        0.10000        0.00572        0.13919        0.00231        0.10238        0.01417        0.18923        -132.35988     0              
Line36         0.00010        0.10000        0.01128        0.10961        0.00513        0.07624        0.02483        0.15757        -136.51800     0              
Line37         0.00010        0.10000        0.00436        0.14477        0.00173        0.10929        0.01095        0.19178        -131.14509     0              
Line38         0.00010        0.10000        0.00624        0.13434        0.00260        0.09882        0.01497        0.18264        -133.13288     0              
Line39         0.00010        0.10000        0.00481        0.13782        0.00194        0.10307        0.01195        0.18427        -132.75950     0              
Line40         0.00010        0.10000        0.00814        0.10249        0.00350        0.07186        0.01892        0.14616        -141.46782     0              
