Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00087        0.09156        0.00034        0.07347        0.00224        0.11409        -226.77240     0              
Line2          0.00010        0.10000        0.00136        0.08533        0.00057        0.06775        0.00326        0.10748        -230.32217     0              
Line3          0.00010        0.10000        0.00068        0.10099        0.00025        0.08137        0.00186        0.12534        -221.35830     0              
Line4          0.00010        0.10000        0.00140        0.08516        0.00060        0.06802        0.00328        0.10662        -229.15098     0              
Line5          0.00010        0.10000        0.00222        0.07617        0.00103        0.06043        0.00479        0.09602        -232.42992     0              
Line6          0.00010        0.10000        0.00094        0.08654        0.00036        0.06898        0.00241        0.10858        -230.30875     0              
Line7          0.00010        0.10000        0.00108        0.09307        0.00044        0.07512        0.00265        0.11531        -223.94549     0              
Line8          0.00010        0.10000        0.00148        0.07887        0.00063        0.06242        0.00349        0.09966        -234.18195     0              
Line9          0.00010        0.10000        0.00085        0.09298        0.00033        0.07474        0.00219        0.11567        -226.02803     0              
Line10         0.00010        0.10000        0.00055        0.10318        0.00019        0.08310        0.00156        0.12812        -221.39292     0              
Line11         0.00010        0.10000        0.00086        0.09087        0.00033        0.07239        0.00227        0.11406        -228.57620     0              
Line12         0.00010        0.10000        0.00073        0.09591        0.00028        0.07749        0.00192        0.11870        -223.70493     0              
Line13         0.00010        0.10000        0.00056        0.10522        0.00020        0.08487        0.00159        0.13046        -219.38017     0              
Line14         0.00010        0.10000        0.00037        0.11263        0.00012        0.09084        0.00117        0.13965        -216.87319     0              
Line15         0.00010        0.10000        0.00063        0.10459        0.00023        0.08429        0.00175        0.12978        -220.45304     0              
Line16         0.00010        0.10000        0.00127        0.08566        0.00053        0.06831        0.00307        0.10740        -229.44411     0              
Line17         0.00010        0.10000        0.00142        0.08138        0.00060        0.06465        0.00332        0.10245        -231.79063     0              
Line18         0.00010        0.10000        0.00026        0.11659        0.00008        0.09444        0.00085        0.14393        -215.29075     0              
Line19         0.00010        0.10000        0.00054        0.09854        0.00019        0.07950        0.00151        0.12212        -223.81004     0              
Line20         0.00010        0.10000        0.00129        0.08676        0.00054        0.06943        0.00308        0.10841        -228.27970     0              
Line21         0.00010        0.10000        0.00092        0.09870        0.00036        0.07934        0.00237        0.12280        -222.67011     0              
Line22         0.00010        0.10000        0.00105        0.10023        0.00041        0.07996        0.00271        0.12564        -222.21488     0              
Line23         0.00010        0.10000        0.00059        0.09653        0.00021        0.07799        0.00162        0.11948        -224.34725     0              
Line24         0.00010        0.10000        0.00063        0.09902        0.00022        0.07910        0.00180        0.12397        -224.17137     0              
Line25         0.00010        0.10000        0.00070        0.09787        0.00025        0.07817        0.00194        0.12255        -224.99036     0              
Line26         0.00010        0.10000        0.00181        0.07760        0.00080        0.06134        0.00411        0.09817        -233.36285     0              
Line27         0.00010        0.10000        0.00099        0.08725        0.00039        0.06926        0.00255        0.10992        -230.99689     0              
Line28         0.00010        0.10000        0.00150        0.08171        0.00065        0.06510        0.00349        0.10257        -231.32424     0              
Line29         0.00010        0.10000        0.00094        0.08878        0.00036        0.07056        0.00245        0.11171        -229.64502     0              
