Confirmed Load of Data File: W303.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00590        0.15549        0.00309        0.12628        0.01127        0.19147        -224.00649     0              
Line2          0.00010        0.10000        0.00272        0.19887        0.00129        0.16574        0.00571        0.23862        -209.96361     0              
Line3          0.00010        0.10000        0.00406        0.17638        0.00203        0.14522        0.00811        0.21423        -217.75689     0              
Line4          0.00010        0.10000        0.00333        0.20386        0.00168        0.17164        0.00661        0.24213        -205.89365     0              
Line5          0.00010        0.10000        0.00474        0.17629        0.00241        0.14464        0.00935        0.21486        -216.62691     0              
Line6          0.00010        0.10000        0.00244        0.22022        0.00115        0.18499        0.00517        0.26216        -202.62861     0              
Line7          0.00010        0.10000        0.00351        0.19606        0.00174        0.16348        0.00706        0.23513        -209.64189     0              
Line8          0.00010        0.10000        0.00610        0.16552        0.00322        0.13525        0.01153        0.20258        -219.30757     0              
Line9          0.00010        0.10000        0.00426        0.18827        0.00217        0.15616        0.00836        0.22698        -212.35335     0              
Line10         0.00010        0.10000        0.00153        0.24308        0.00065        0.20344        0.00359        0.29044        -198.18041     0              
Line11         0.00010        0.10000        0.00603        0.16312        0.00316        0.13287        0.01151        0.20026        -220.81967     0              
Line12         0.00010        0.10000        0.00241        0.22647        0.00116        0.19165        0.00502        0.26761        -199.22942     0              
Line13         0.00010        0.10000        0.00158        0.23976        0.00071        0.20264        0.00354        0.28368        -197.28882     0              
Line14         0.00010        0.10000        0.00281        0.21574        0.00135        0.18102        0.00585        0.25712        -204.36056     0              
Line15         0.00010        0.10000        0.00250        0.20711        0.00118        0.17331        0.00529        0.24751        -206.97011     0              
Line16         0.00010        0.10000        0.00380        0.17798        0.00185        0.14596        0.00780        0.21703        -218.22817     0              
Line17         0.00010        0.10000        0.00300        0.20869        0.00145        0.17417        0.00624        0.25007        -206.99417     0              
Line18         0.00010        0.10000        0.00430        0.17803        0.00222        0.14780        0.00833        0.21444        -215.04026     0              
Line19         0.00010        0.10000        0.00342        0.18651        0.00169        0.15504        0.00692        0.22437        -213.38292     0              
Line20         0.00010        0.10000        0.00280        0.20810        0.00132        0.17297        0.00595        0.25037        -208.45186     0              
Line21         0.00010        0.10000        0.00289        0.20412        0.00137        0.16987        0.00608        0.24527        -208.69507     0              
Line22         0.00010        0.10000        0.00482        0.17613        0.00244        0.14415        0.00952        0.21520        -217.95801     0              
Line23         0.00010        0.10000        0.00370        0.19823        0.00189        0.16643        0.00723        0.23611        -207.41674     0              
Line24         0.00010        0.10000        0.00327        0.19864        0.00163        0.16607        0.00659        0.23759        -209.35455     0              
Line25         0.00010        0.10000        0.00388        0.18150        0.00190        0.14897        0.00792        0.22115        -216.75799     0              
Line26         0.00010        0.10000        0.00265        0.21304        0.00126        0.17834        0.00557        0.25449        -204.90837     0              
Line27         0.00010        0.10000        0.00182        0.23475        0.00077        0.19433        0.00430        0.28358        -203.10284     0              
Line28         0.00010        0.10000        0.00299        0.21271        0.00146        0.17831        0.00614        0.25375        -204.14246     0              
Line29         0.00010        0.10000        0.00292        0.20220        0.00142        0.16926        0.00600        0.24154        -208.18664     0              
Line30         0.00010        0.10000        0.00334        0.19587        0.00160        0.16164        0.00696        0.23734        -212.38355     0              
Line31         0.00010        0.10000        0.00203        0.23666        0.00090        0.19764        0.00457        0.28339        -200.17463     0              
Line32         0.00010        0.10000        0.00224        0.21857        0.00101        0.18171        0.00500        0.26292        -204.86456     0              
Line33         0.00010        0.10000        0.00110        0.27815        0.00045        0.23457        0.00270        0.32983        -189.83781     0              
Line34         0.00010        0.10000        0.00437        0.18038        0.00219        0.14827        0.00872        0.21945        -215.82330     0              
Line35         0.00010        0.10000        0.00395        0.18195        0.00202        0.15141        0.00774        0.21865        -213.87148     0              
Line36         0.00010        0.10000        0.00470        0.18790        0.00237        0.15423        0.00934        0.22893        -214.24769     0              
Line37         0.00010        0.10000        0.00337        0.20068        0.00162        0.16604        0.00702        0.24255        -210.28575     0              
Line38         0.00010        0.10000        0.00369        0.19024        0.00184        0.15811        0.00740        0.22890        -211.35064     0              
Line39         0.00010        0.10000        0.00349        0.18491        0.00175        0.15423        0.00698        0.22170        -213.42464     0              
Line40         0.00010        0.10000        0.00235        0.21669        0.00109        0.18157        0.00505        0.25861        -203.84317     0              
Line41         0.00010        0.10000        0.00329        0.18362        0.00161        0.15241        0.00673        0.22123        -214.32101     0              
Line42         0.00010        0.10000        0.00311        0.19711        0.00146        0.16221        0.00663        0.23951        -213.06771     0              
