Confirmed Load of Data File: YPS163.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00056        0.14364        0.00028        0.12571        0.00112        0.16413        -446.00653     0              
Line2          0.00010        0.10000        0.00072        0.14039        0.00036        0.12148        0.00147        0.16224        -452.80927     0              
Line3          0.00010        0.10000        0.00064        0.13855        0.00031        0.11999        0.00132        0.15999        -455.05495     0              
Line4          0.00010        0.10000        0.00140        0.11465        0.00077        0.09910        0.00255        0.13265        -472.44240     0              
Line5          0.00010        0.10000        0.00133        0.12013        0.00073        0.10431        0.00241        0.13834        -465.99873     0              
Line6          0.00010        0.10000        0.00092        0.13046        0.00048        0.11310        0.00177        0.15048        -459.89494     0              
Line7          0.00010        0.10000        0.00038        0.15380        0.00017        0.13320        0.00084        0.17758        -444.18739     0              
Line8          0.00010        0.10000        0.00097        0.12982        0.00051        0.11307        0.00182        0.14904        -457.82948     0              
Line9          0.00010        0.10000        0.00132        0.11653        0.00073        0.10122        0.00238        0.13416        -468.79556     0              
Line10         0.00010        0.10000        0.00058        0.14456        0.00028        0.12497        0.00122        0.16721        -450.73258     0              
Line11         0.00010        0.10000        0.00101        0.12403        0.00054        0.10761        0.00192        0.14295        -464.39833     0              
Line12         0.00010        0.10000        0.00089        0.12734        0.00047        0.11106        0.00168        0.14600        -459.57295     0              
Line13         0.00010        0.10000        0.00059        0.14597        0.00028        0.12554        0.00127        0.16972        -453.13027     0              
Line14         0.00010        0.10000        0.00094        0.12786        0.00050        0.11116        0.00179        0.14708        -459.30221     0              
Line15         0.00010        0.10000        0.00169        0.11206        0.00097        0.09730        0.00295        0.12906        -470.94085     0              
Line16         0.00010        0.10000        0.00087        0.13181        0.00045        0.11474        0.00167        0.15141        -455.95582     0              
Line17         0.00010        0.10000        0.00044        0.14987        0.00020        0.12988        0.00096        0.17294        -445.38585     0              
Line18         0.00010        0.10000        0.00130        0.11863        0.00071        0.10286        0.00236        0.13681        -467.64178     0              
Line19         0.00010        0.10000        0.00096        0.12650        0.00051        0.11017        0.00180        0.14525        -461.69872     0              
Line20         0.00010        0.10000        0.00133        0.11629        0.00074        0.10101        0.00239        0.13388        -468.56462     0              
Line21         0.00010        0.10000        0.00048        0.15200        0.00022        0.13174        0.00103        0.17537        -443.58663     0              
Line22         0.00010        0.10000        0.00049        0.14666        0.00022        0.12667        0.00105        0.16981        -450.22880     0              
Line23         0.00010        0.10000        0.00047        0.15321        0.00022        0.13214        0.00104        0.17764        -446.01348     0              
Line24         0.00010        0.10000        0.00122        0.12248        0.00068        0.10686        0.00221        0.14038        -462.59567     0              
Line25         0.00010        0.10000        0.00101        0.12532        0.00052        0.10825        0.00193        0.14508        -465.46511     0              
Line26         0.00010        0.10000        0.00151        0.11171        0.00084        0.09649        0.00271        0.12933        -475.55976     0              
