"ORF","Gene","RLS_Del_alpha","N","BY4742","N","p-value","RLS_Del_a","N","BY4741","N","p-value","RLS_Del.pooled","N","Pooled","N","p-value"
"YMR056C","AAC1",25.3,-105,23.9,-135,2.20E-001,28.7,-100,26.8,-120,1.30E-001,26.9,-205,25.3,-255,2.70E-002
"YCR107W","AAD3",27.4,-20,23.8,-20,3.70E-001,0,0,0,0,0.00E+000,27.4,-20,23.8,-20,3.70E-001
"YHR047C","AAP1",15.8,-5,22.4,-5,1.90E-001,0,0,0,0,0.00E+000,15.8,-5,22.4,-5,1.90E-001
"YAL054C","ACS1",24.5,-10,26.1,-10,5.70E-001,0,0,0,0,0.00E+000,24.5,-10,26.1,-10,5.70E-001
"YGR061C","ADE6",25.7,-25,28.4,-25,4.00E-001,0,0,0,0,0.00E+000,25.7,-25,28.4,-25,4.00E-001
"YER170W","ADK2",23.4,-10,22.7,-10,6.50E-001,0,0,0,0,0.00E+000,23.4,-10,22.7,-10,6.50E-001
"YDR085C","AFR1",23.4,-10,29.6,-10,8.10E-002,0,0,0,0,0.00E+000,23.4,-10,29.6,-10,8.10E-002
"YHR093W","AHT1",28.4,-15,25,-25,5.40E-001,0,0,0,0,0.00E+000,28.4,-15,25,-25,5.40E-001
"YDR264C","AKR1",14.7,-25,25.8,-25,9.50E-006,0,0,0,0,0.00E+000,14.7,-25,25.8,-25,9.50E-006
"YMR169C","ALD3",29.4,-10,30,-10,9.10E-001,0,0,0,0,0.00E+000,29.4,-10,30,-10,9.10E-001
"YDR111C","ALT2",19.7,-10,29.6,-10,8.20E-002,0,0,0,0,0.00E+000,19.7,-10,29.6,-10,8.20E-002
"YDR242W","AMD2",23.8,-30,25.4,-30,2.80E-001,0,0,0,0,0.00E+000,23.8,-30,25.4,-30,2.80E-001
"YBR231C","AOR1",15.9,-10,29.6,-10,1.70E-003,0,0,0,0,0.00E+000,15.9,-10,29.6,-10,1.70E-003
"YHR018C","ARG4",29,-25,26.3,-25,5.40E-001,0,0,0,0,0.00E+000,29,-25,26.3,-25,5.40E-001
"YBR249C","ARO4",26.5,-15,28.5,-15,9.70E-001,0,0,0,0,0.00E+000,26.5,-15,28.5,-15,9.70E-001
"YHR137W","ARO9",20,-5,22.4,-5,8.40E-001,0,0,0,0,0.00E+000,20,-5,22.4,-5,8.40E-001
"YHR129C","ARP1",15.7,-20,24.5,-25,3.30E-003,0,0,0,0,0.00E+000,15.7,-20,24.5,-25,3.30E-003
"YDR101C","ARX1",24.4,-25,24.5,-35,7.60E-001,0,0,0,0,0.00E+000,24.4,-25,24.5,-35,7.60E-001
"YGR097W","ASK10",23.7,-10,29.3,-10,3.10E-001,0,0,0,0,0.00E+000,23.7,-10,29.3,-10,3.10E-001
,,,,,,,,,,,,,,,,
"YDR321W","ASP1",31.5,-20,26.9,-35,3.50E-001,0,0,0,0,0.00E+000,31.5,-20,26.9,-35,3.50E-001
"YLR423C","ATG17",18.4,-5,28.8,-5,2.90E-001,0,0,0,0,0.00E+000,18.4,-5,28.8,-5,2.90E-001
"YCL038C","ATG22",25.7,-10,28.5,-10,6.50E-001,0,0,0,0,0.00E+000,25.7,-10,28.5,-10,6.50E-001
"YLR431C","ATG23",25.4,-20,26.9,-30,3.40E-001,0,0,0,0,0.00E+000,25.4,-20,26.9,-30,3.40E-001
"YML081CA","ATP18",15.5,-14,24.5,-45,1.10E-003,0,0,0,0,0.00E+000,15.5,-14,24.5,-45,1.10E-003
"YDR298C","ATP5",23.4,-25,25.8,-25,2.60E-001,0,0,0,0,0.00E+000,23.4,-25,25.8,-25,2.60E-001
"YOR113W","AZF1",28,-45,26,-45,3.30E-001,0,0,0,0,0.00E+000,28,-45,26,-45,3.30E-001
"YOR134W","BAG7",30.3,-20,25.4,-65,1.60E-001,22.9,-20,22.1,-20,6.40E-001,26.6,-40,24.6,-85,5.70E-001
"YKR099W","BAS1",3.56E+001,-30,26.9,-30,1.70E-003,2.31E+001,-40,25.3,-60,1.80E-001,28.5,-70,25.8,-90,1.90E-001
"YNR058W","BIO3",29.9,-20,24.8,-50,1.30E-001,0,0,0,0,0.00E+000,29.9,-20,24.8,-50,1.30E-001
"YNR057C","BIO4",21.8,-5,28.8,-5,4.50E-001,0,0,0,0,0.00E+000,21.8,-5,28.8,-5,4.50E-001
"YNR056C","BIO5",20.8,-5,28.8,-5,3.80E-001,0,0,0,0,0.00E+000,20.8,-5,28.8,-5,3.80E-001
"YER177W","BMH1",20.1,-10,22.7,-10,6.80E-001,0,0,0,0,0.00E+000,20.1,-10,22.7,-10,6.80E-001
"YDR099W","BMH2",26.1,-15,28.5,-15,3.00E-001,0,0,0,0,0.00E+000,26.1,-15,28.5,-15,3.00E-001
"YNR051C","BRE5",25.8,-80,26.6,-130,4.80E-001,32.8,-40,25.3,-60,6.60E-003,28.2,-120,26.1,-190,2.80E-001
"YDR275W","BSC2",34.2,-25,27.6,-25,3.40E-002,28.2,-20,29.7,-20,9.00E-001,31.6,-45,28.5,-45,2.00E-001
"YDR252W","BTT1",24.8,-5,29,-5,7.30E-001,0,0,0,0,0.00E+000,24.8,-5,29,-5,7.30E-001
"YMR055C","BUB2",22.6,-15,23.7,-15,4.80E-001,0,0,0,0,0.00E+000,22.6,-15,23.7,-15,4.80E-001
"YLR353W","BUD8",31.3,-25,24,-55,5.20E-002,0,0,0,0,0.00E+000,31.3,-25,24,-55,5.20E-002
"YHR114W","BZZ1",20.8,-5,22.4,-5,8.00E-001,0,0,0,0,0.00E+000,20.8,-5,22.4,-5,8.00E-001
"YLR438W","CAR2",16.4,-5,28.8,-5,5.60E-002,0,0,0,0,0.00E+000,16.4,-5,28.8,-5,5.60E-002
"YDR270W","CCC2",17.8,-5,29,-5,2.20E-001,0,0,0,0,0.00E+000,17.8,-5,29,-5,2.20E-001
"YDR254W","CHL4",22.6,-10,27.4,-10,2.70E-001,0,0,0,0,0.00E+000,22.6,-10,27.4,-10,2.70E-001
"YHR142W","CHS7",18,-5,22.4,-5,4.60E-001,0,0,0,0,0.00E+000,18,-5,22.4,-5,4.60E-001
"YGR108W","CLB1",24,-25,28.4,-25,1.50E-002,0,0,0,0,0.00E+000,24,-25,28.4,-25,1.50E-002
"YGR109C","CLB6",24.1,-25,28.4,-25,2.00E-001,0,0,0,0,0.00E+000,24.1,-25,28.4,-25,2.00E-001
"YLR433C","CNA1",23.8,-20,26.9,-30,1.90E-001,0,0,0,0,0.00E+000,23.8,-20,26.9,-30,1.90E-001
"YLL018CA","COX19",17.4,-5,28.8,-5,1.00E-001,0,0,0,0,0.00E+000,17.4,-5,28.8,-5,1.00E-001
"YIL111W","COX5B",27.8,-20,24.4,-20,2.60E-001,0,0,0,0,0.00E+000,27.8,-20,24.4,-20,2.60E-001
"YHR057C","CPR2",24,-5,22.4,-5,4.40E-001,0,0,0,0,0.00E+000,24,-5,22.4,-5,4.40E-001
"YDR304C","CPR5",25.6,-5,29,-5,7.90E-001,0,0,0,0,0.00E+000,25.6,-5,29,-5,7.90E-001
,,,,,,,,,,,,,,,,
"YOR100C","CRC1",31.6,-25,25.3,-25,1.70E-002,25.9,-40,25.3,-60,6.70E-001,28.1,-65,25.3,-85,2.50E-001
"YLR429W","CRN1",30.2,-25,27.6,-25,5.60E-001,0,0,0,0,0.00E+000,30.2,-25,27.6,-25,5.60E-001
"YLR380W","CSR1",22.3,-15,23.7,-15,5.50E-001,0,0,0,0,0.00E+000,22.3,-15,23.7,-15,5.50E-001
"YDR256C","CTA1",29.9,-20,26.9,-35,4.30E-001,0,0,0,0,0.00E+000,29.9,-20,26.9,-35,4.30E-001
"YLR381W","CTF3",24.3,-10,22.7,-10,4.30E-001,0,0,0,0,0.00E+000,24.3,-10,22.7,-10,4.30E-001
"YHR109W","CTM1",22,-5,22.4,-5,1.00E+000,0,0,0,0,0.00E+000,22,-5,22.4,-5,1.00E+000
"YGR088W","CTT1",24.8,-25,28.4,-25,2.20E-001,0,0,0,0,0.00E+000,24.8,-25,28.4,-25,2.20E-001
"YAL012W","CYS3",30.2,-25,24.5,-25,1.90E-001,0,0,0,0,0.00E+000,30.2,-25,24.5,-25,1.90E-001
"YHR028C","DAP2",22,-5,22.4,-5,8.80E-001,0,0,0,0,0.00E+000,22,-5,22.4,-5,8.80E-001
"YOR180C","DCI1",29.8,-25,28.4,-25,8.30E-001,0,0,0,0,0.00E+000,29.8,-25,28.4,-25,8.30E-001
"YOR173W","DCS2",22.8,-10,29.3,-10,2.10E-001,0,0,0,0,0.00E+000,22.8,-10,29.3,-10,2.10E-001
"YOR163W","DDP1",27.8,-25,25.3,-25,2.20E-001,0,0,0,0,0.00E+000,27.8,-25,25.3,-25,2.20E-001
